Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
9.929255,0.000000,-19.394270,0.000000,-1632.237305,482.982819,3010.148682,3.114300,0.837561,0.024801,0.215047,-0.142017,-0.062201,0.987908,0.988886,0.035439,0.144389,7.453421,12.594347,15.973883,10.871293,-25.754440,-30.963861,-22.337502,-24.305933,0.924819,0.831364,0.910109,0.814205,0.800000,0.316261,0.000000,0.900965,1.000000,-0.027693,0.242677,0.000000,1724.011230,1.000000,1.000000,0.000000,0.000000,-107.461884,-107.461884,-107.461884,-107.461884,0.000000,104.399872,0.215047,-0.121391,0.162092,-0.183161,
10.027706,0.000000,-19.288542,0.000000,-1632.139893,482.988464,3010.123047,3.997283,1.071164,0.053509,0.287462,-0.149458,-0.061584,0.986849,0.987784,0.035218,0.151797,7.339626,12.318917,16.053364,10.698117,-45.352150,-46.177620,-31.553398,-37.757828,1.126339,1.109478,1.041247,1.041247,0.800000,0.302114,0.000000,0.900287,1.000000,-0.058840,0.246786,0.000000,1724.702148,1.000000,1.000000,0.000000,0.000000,-105.999298,-105.999298,-105.999298,-105.999298,0.000000,105.022186,0.057538,-0.003163,-0.248793,-0.248793,
10.125213,0.000000,-19.170626,0.000000,-1632.019165,482.992188,3010.090088,4.879556,1.307236,0.031484,0.356847,-0.157180,-0.061360,0.985662,0.986560,0.035377,0.159526,7.045233,11.967703,15.901912,10.353371,-27.091656,-27.276844,-6.130421,-36.470470,1.403959,1.361170,1.371084,1.371084,0.800000,0.294515,0.000000,0.900212,1.000000,-0.015714,0.251296,0.000000,1724.777832,1.000000,1.000000,0.000000,0.000000,-104.553558,-104.553558,-104.553558,-104.553558,0.000000,105.268517,0.174695,0.020656,0.056347,0.056347,
10.222039,0.000000,-19.029881,0.000000,-1631.874512,482.996094,3010.050293,5.774147,1.546574,0.046185,0.422570,-0.165287,-0.061182,0.984346,0.985204,0.035619,0.167645,7.319247,12.332194,16.332310,11.027936,-20.158169,-24.493851,2.693639,-25.882654,1.659370,1.618375,1.630323,1.630323,0.800000,0.271723,0.000000,0.900204,1.000000,-0.020058,0.254574,0.000000,1724.785156,1.000000,1.000000,0.000000,0.000000,-103.124359,-103.124359,-103.124359,-103.124359,0.000000,105.281898,0.199586,0.052004,0.095015,0.095015,
10.318919,0.000000,-18.864994,0.000000,-1631.705688,483.000793,3010.003906,6.681200,1.788985,0.048955,0.491384,-0.173690,-0.060575,0.982936,0.983744,0.035546,0.176023,7.050621,12.576814,16.208054,10.823920,-28.284742,12.504161,-11.473527,-47.817886,1.914839,1.868429,1.895387,1.895387,0.800000,0.249938,0.000000,0.900204,1.000000,-0.028879,0.255177,0.000000,1724.785156,1.000000,1.000000,0.000000,0.000000,-101.711578,-101.711578,-101.711578,-101.711578,0.000000,105.358772,0.212220,0.045145,0.142192,0.142192,
10.416736,0.000000,-18.674164,0.000000,-1631.512451,483.006775,3009.950928,7.598399,2.036035,0.060642,0.552988,-0.182248,-0.059932,0.981424,0.982194,0.035221,0.184541,6.927041,12.322376,16.595772,10.820642,-37.490154,-50.282867,9.058989,-17.923695,2.178639,2.161436,2.159022,2.159022,0.800000,0.218502,0.000000,0.900204,1.000000,-0.008945,0.262643,0.000000,1724.785156,1.000000,1.000000,0.000000,0.000000,-100.314911,-100.314911,-100.314911,-100.314911,0.000000,105.195007,0.244701,0.182770,0.174081,0.174081,
10.513334,0.000000,-18.488356,0.000000,-1631.332397,483.012329,3009.901855,8.375859,2.244124,0.066747,0.610450,-0.189053,-0.059780,0.980146,0.980895,0.035121,0.191339,7.025233,12.267627,16.441059,10.662834,-44.433662,-54.749378,-19.929298,-45.900314,2.395626,2.394907,2.391805,2.391805,0.800000,0.197771,0.000000,0.900204,1.000000,-0.024433,0.262299,0.000000,1724.785156,1.000000,1.000000,0.000000,0.000000,-99.163300,-99.163300,-99.163300,-99.163300,0.000000,105.217461,0.248393,0.245806,0.234639,0.234639,
10.611593,0.000000,-18.247786,0.000000,-1631.093140,483.019867,3009.837158,9.322752,2.497451,0.085636,0.679492,-0.197102,-0.058156,0.978657,0.979302,0.035190,0.199324,7.126873,13.313821,15.894638,10.469684,-50.744457,7.216454,-95.581306,-68.967613,2.661654,2.644536,2.676810,2.676810,0.800000,0.172821,0.000000,0.899399,1.000000,-0.057522,0.267171,0.000000,1724.233398,1.000000,1.000000,0.000000,0.000000,-97.795929,-97.795929,-97.795929,-97.795929,0.000000,105.220291,0.259201,0.197576,0.313762,0.313763,
10.708976,0.000000,-17.949287,0.000000,-1630.828247,483.028168,3009.765137,10.283761,2.754901,0.079204,0.751275,-0.204886,-0.057107,0.977119,0.977670,0.035726,0.207090,6.432481,12.568738,16.182320,10.725192,-25.436348,11.006536,-26.146944,23.851530,2.926580,2.919281,2.921916,2.921916,0.800000,0.153608,0.000000,0.895579,1.000000,-0.026516,0.268952,0.000000,1724.685181,1.000000,1.000000,0.000000,0.000000,-96.444122,-96.444122,-96.444122,-96.444122,0.000000,105.253929,0.251929,0.225652,0.235135,0.235135,
10.806198,0.000000,-17.656597,0.000000,-1630.539185,483.037415,3009.686035,11.150578,2.984924,0.102731,0.820644,-0.212474,-0.056599,0.975526,0.976052,0.035382,0.214641,7.619589,12.741603,16.518131,10.564560,-8.334478,-30.827787,-3.423244,-42.118137,3.176698,3.176697,3.182942,3.182942,0.800000,0.141202,0.000000,0.876115,1.000000,-0.019083,0.238702,0.000000,1746.923096,1.000000,1.000000,0.000000,0.000000,-95.108002,-95.108002,-95.108002,-95.108002,0.000000,105.372513,0.285534,0.285533,0.308014,0.308013,
