Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
26.831230,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014388,-0.001034,-0.000016,-0.003861,0.986715,-0.001117,-0.162455,-0.162146,0.055191,-0.985222,21.267073,21.328714,22.095892,22.054726,-26.241203,-26.441517,-27.351511,-28.010715,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009456,0.000000,0.910912,1.000000,-0.002825,-0.000491,0.000000,7801.146484,1.000000,1.000000,0.000000,0.000000,-19.886261,-19.886261,-19.886261,-19.886261,0.000000,345.009613,-0.014388,-0.014388,-0.014388,-0.014388,
26.941288,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014397,-0.001056,-0.000037,-0.003857,0.986716,-0.001116,-0.162455,-0.162146,0.055191,-0.985222,21.267179,21.328743,22.095570,22.054806,-26.234591,-26.442755,-27.324060,-28.014746,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009468,0.000000,0.910912,1.000000,-0.002881,-0.000488,0.000000,7881.429688,1.000000,1.000000,0.000000,0.000000,-19.352875,-19.352875,-19.352875,-19.352875,0.000000,344.687805,-0.014397,-0.014397,-0.014397,-0.014397,
27.039680,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014950,-0.001545,0.000021,-0.003855,0.986716,-0.001129,-0.162449,-0.162140,0.055191,-0.985223,21.271395,21.329628,22.094576,22.056051,-26.035900,-26.326132,-27.483053,-27.848490,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009468,0.000000,0.910912,1.000000,0.000160,0.000006,0.000000,7870.394531,1.000000,1.000000,0.000000,0.000000,-18.901276,-18.901276,-18.901276,-18.901276,0.000000,338.164612,-0.014950,-0.014950,-0.014950,-0.014950,
27.136831,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014933,-0.001493,-0.000033,-0.003870,0.986716,-0.001129,-0.162450,-0.162141,0.055192,-0.985223,21.266497,21.329668,22.090977,22.055883,-26.349546,-26.367300,-28.201500,-27.883507,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009468,0.000000,0.910912,1.000000,0.000076,0.000077,0.000000,7820.794922,1.000000,1.000000,0.000000,0.000000,-18.454926,-18.454926,-18.454926,-18.454926,0.000000,338.907074,-0.014933,-0.014933,-0.014933,-0.014933,
27.243999,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014834,-0.001437,-0.000003,-0.003862,0.986716,-0.001130,-0.162451,-0.162142,0.055192,-0.985223,21.268448,21.329668,22.091349,22.056065,-26.650034,-26.372755,-28.226439,-27.895527,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009468,0.000000,0.910912,1.000000,-0.000009,-0.000014,0.000000,7871.136719,1.000000,1.000000,0.000000,0.000000,-18.013702,-18.013702,-18.013702,-18.013702,0.000000,339.585205,-0.014834,-0.014834,-0.014834,-0.014834,
27.344086,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014919,-0.001465,-0.000010,-0.003877,0.986716,-0.001128,-0.162452,-0.162143,0.055191,-0.985223,21.267021,21.329531,22.091412,22.056089,-26.377354,-26.359676,-28.233576,-27.894552,0.000000,0.000000,0.000000,0.000000,0.899413,-0.009468,0.000000,0.910912,1.000000,0.000155,0.000090,0.000000,7849.437500,1.000000,1.000000,0.000000,0.000000,-17.577484,-17.577484,-17.577484,-17.577484,0.000000,339.297943,-0.014919,-0.014919,-0.014919,-0.014919,
27.442036,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014799,-0.001427,0.000034,-0.003855,0.986716,-0.001127,-0.162453,-0.162144,0.055191,-0.985223,21.272976,21.328245,22.096441,22.054146,-26.311226,-26.059649,-27.807789,-27.528969,0.000000,0.000000,0.000000,0.000000,0.899413,-0.009468,0.000000,0.910912,1.000000,-0.000391,0.000120,0.000000,7818.021484,1.000000,1.000000,0.000000,0.000000,-17.146271,-17.146271,-17.146271,-17.146271,0.000000,339.691589,-0.014799,-0.014799,-0.014799,-0.014799,
27.556156,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014771,-0.001425,0.000030,-0.003848,0.986716,-0.001127,-0.162453,-0.162144,0.055192,-0.985222,21.272955,21.328157,22.096153,22.054325,-26.311085,-26.056999,-27.786005,-27.524118,0.000000,0.000000,0.000000,0.000000,0.899413,-0.009468,0.000000,0.910912,1.000000,-0.000409,0.000123,0.000000,7956.478516,1.000000,1.000000,0.000000,0.000000,-16.649506,-16.649506,-16.649506,-16.649506,0.000000,339.682953,-0.014771,-0.014771,-0.014771,-0.014771,
27.654173,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014802,-0.001477,-0.000050,-0.003837,0.986716,-0.001123,-0.162454,-0.162145,0.055191,-0.985222,21.272039,21.323893,22.097282,22.049129,-26.130507,-26.569996,-27.934601,-28.128988,0.000000,0.000000,0.000000,0.000000,0.899413,-0.009468,0.000000,0.910912,1.000000,0.002562,0.000287,0.000000,7901.810547,1.000000,1.000000,0.000000,0.000000,-16.228851,-16.228851,-16.228851,-16.228851,0.000000,338.948334,-0.014802,-0.014802,-0.014802,-0.014802,
27.761908,0.000000,-2.069580,0.000000,-1236.168701,230.058350,-2593.466797,0.014994,-0.001541,-0.000024,-0.003869,0.986714,-0.001127,-0.162462,-0.162153,0.055192,-0.985221,21.271292,21.329657,22.089468,22.055984,-26.009722,-26.346411,-27.910606,-27.838379,0.000000,0.000000,0.000000,0.000000,0.899413,-0.009468,0.000000,0.910912,1.000000,0.000110,0.000008,0.000000,7965.687500,1.000000,1.000000,0.000000,0.000000,-15.813202,-15.813202,-15.813202,-15.813202,0.000000,338.278107,-0.014994,-0.014994,-0.014994,-0.014994,
