Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
2425.642090,0.000000,-1.428940,0.000000,2850.464600,177.688553,-190.317734,0.006097,-0.001647,-0.000388,-0.000064,0.742593,-0.001503,-0.669742,-0.669604,0.018716,-0.742482,21.488152,21.577213,21.818077,21.752571,-26.700754,-26.441734,-28.138014,-27.909353,0.000000,0.000000,0.000000,0.000000,1.000000,0.003684,0.000000,0.971239,1.000000,-0.000131,0.000050,0.000000,3409.178223,1.000000,1.000000,0.000000,0.000000,-40.897858,-40.897858,-40.897858,-40.897858,0.000000,272.208954,-0.006097,-0.006097,-0.006097,-0.006097,
2425.738281,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006012,-0.001654,-0.000226,-0.000058,0.742593,-0.001504,-0.669742,-0.669604,0.018716,-0.742483,21.501110,21.585278,21.827034,21.761744,-26.325417,-26.388767,-28.110407,-27.822409,0.000000,0.000000,0.000000,0.000000,1.000000,0.001256,0.000000,0.910912,1.000000,-0.000137,0.000080,0.000000,5239.705078,1.000000,1.000000,0.000000,0.000000,-40.199127,-40.199127,-40.199127,-40.199127,0.000000,272.008301,-0.006012,-0.006012,-0.006012,-0.006012,
2425.842285,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.005948,-0.001652,0.000001,-0.000032,0.742593,-0.001505,-0.669742,-0.669604,0.018717,-0.742482,21.501915,21.585941,21.831738,21.762602,-26.425455,-26.428820,-27.459888,-27.894657,0.000000,0.000000,0.000000,0.000000,1.000000,-0.000606,0.000000,0.910912,1.000000,0.000018,0.000041,0.000000,6667.371094,1.000000,1.000000,0.000000,0.000000,-39.508453,-39.508453,-39.508453,-39.508453,0.000000,271.098083,-0.005948,-0.005948,-0.005948,-0.005948,
2425.937256,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.005960,-0.001652,0.000086,-0.000050,0.742593,-0.001504,-0.669741,-0.669604,0.018715,-0.742483,21.501005,21.585144,21.825842,21.761494,-26.399096,-26.455175,-27.900101,-27.893471,0.000000,0.000000,0.000000,0.000000,0.992187,-0.000351,0.000000,0.910912,1.000000,0.000044,0.000043,0.000000,7763.201172,1.000000,1.000000,0.000000,0.000000,-38.825531,-38.825531,-38.825531,-38.825531,0.000000,271.716156,-0.005960,-0.005960,-0.005960,-0.005960,
2426.043701,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.005967,-0.001647,0.000184,0.000001,0.742593,-0.001505,-0.669741,-0.669604,0.018716,-0.742482,21.500282,21.584528,21.825289,21.760988,-26.404041,-26.433540,-27.923571,-27.882162,0.000000,0.000000,0.000000,0.000000,0.739254,-0.000334,0.000000,0.910912,1.000000,0.000333,-0.000304,0.000000,7843.054688,1.000000,1.000000,0.000000,0.000000,-38.150726,-38.150726,-38.150726,-38.150726,0.000000,269.956207,-0.005967,-0.005967,-0.005967,-0.005967,
2426.138184,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006030,-0.001655,0.000249,-0.000061,0.742592,-0.001503,-0.669742,-0.669605,0.018716,-0.742482,21.499537,21.584070,21.826162,21.760403,-26.375933,-26.454855,-28.202612,-27.894299,0.000000,0.000000,0.000000,0.000000,0.708003,-0.001136,0.000000,0.910912,1.000000,-0.000135,0.000033,0.000000,7831.052734,1.000000,1.000000,0.000000,0.000000,-37.483551,-37.483551,-37.483551,-37.483551,0.000000,272.096069,-0.006030,-0.006030,-0.006030,-0.006030,
2426.244873,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006073,-0.001655,0.000328,0.000022,0.742593,-0.001505,-0.669741,-0.669604,0.018716,-0.742483,21.499512,21.583626,21.829487,21.760189,-26.426785,-26.406620,-27.486408,-27.883856,0.000000,0.000000,0.000000,0.000000,0.737301,-0.001580,0.000000,0.910912,1.000000,0.000295,-0.000297,0.000000,7827.390625,1.000000,1.000000,0.000000,0.000000,-36.823883,-36.823883,-36.823883,-36.823883,0.000000,269.246399,-0.006073,-0.006073,-0.006073,-0.006073,
2426.350830,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006116,-0.001666,0.000329,-0.000053,0.742592,-0.001503,-0.669742,-0.669605,0.018716,-0.742482,21.497671,21.583246,21.825567,21.759468,-26.112858,-26.440968,-28.210632,-27.875114,0.000000,0.000000,0.000000,0.000000,0.801755,-0.001628,0.000000,0.910912,1.000000,0.000071,0.000097,0.000000,7952.898438,1.000000,1.000000,0.000000,0.000000,-36.063934,-36.063934,-36.063934,-36.063934,0.000000,271.814941,-0.006116,-0.006116,-0.006116,-0.006116,
2426.445313,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006098,-0.001655,0.000357,-0.000047,0.742593,-0.001502,-0.669742,-0.669604,0.018716,-0.742482,21.499147,21.583057,21.823795,21.759548,-26.396341,-26.445456,-27.887716,-27.887037,0.000000,0.000000,0.000000,0.000000,0.826169,-0.001616,0.000000,0.910912,1.000000,0.000046,-0.000002,0.000000,7829.100586,1.000000,1.000000,0.000000,0.000000,-35.527374,-35.527374,-35.527374,-35.527374,0.000000,271.610901,-0.006098,-0.006098,-0.006098,-0.006098,
2426.551270,0.000000,-1.428940,0.000000,2850.464600,177.688538,-190.317734,0.006097,-0.001648,0.000386,-0.000047,0.742593,-0.001503,-0.669742,-0.669604,0.018716,-0.742482,21.498848,21.582794,21.823521,21.759378,-26.399412,-26.445311,-27.887939,-27.888361,0.000000,0.000000,0.000000,0.000000,0.826169,-0.001616,0.000000,0.910912,1.000000,0.000049,0.000002,0.000000,7919.110352,1.000000,1.000000,0.000000,0.000000,-34.784821,-34.784821,-34.784821,-34.784821,0.000000,271.647095,-0.006097,-0.006097,-0.006097,-0.006097,
