Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
12.331053,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.021506,-0.001494,0.001101,0.005678,0.976239,-0.001069,0.216693,0.216658,0.023551,-0.975964,11.469473,11.524798,11.715151,11.653851,-26.306038,-27.283741,-25.357780,-26.471939,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006389,0.000000,0.900234,1.000000,0.001669,-0.001099,0.000000,7387.196777,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,194.737183,-0.021506,-0.021506,-0.021506,-0.021506,
12.429840,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.021388,-0.001542,0.001132,0.005625,0.976238,-0.001054,0.216696,0.216660,0.023555,-0.975963,11.469186,11.543549,11.694482,11.652861,-26.141417,-26.096832,-26.691769,-26.585352,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006389,0.000000,0.900234,1.000000,0.001449,-0.001173,0.000000,7366.728027,1.000000,1.000000,0.000000,0.000000,-41.723358,-41.723358,-41.723358,-41.723358,0.000000,195.329559,-0.021388,-0.021388,-0.021388,-0.021388,
12.526295,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.021022,-0.001235,0.000994,0.005620,0.976239,-0.001058,0.216695,0.216660,0.023556,-0.975963,11.469851,11.522745,11.694239,11.652902,-26.168386,-27.450136,-26.764414,-26.529177,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006389,0.000000,0.900234,1.000000,0.000059,-0.000206,0.000000,7338.622559,1.000000,1.000000,0.000000,0.000000,-41.015167,-41.015167,-41.015167,-41.015167,0.000000,192.398895,-0.021022,-0.021022,-0.021022,-0.021022,
12.633053,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.020420,-0.001276,0.001049,0.005427,0.976238,-0.001051,0.216699,0.216664,0.023549,-0.975962,11.468262,11.539684,11.693384,11.655850,-25.943293,-25.996367,-26.559067,-26.863163,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006389,0.000000,0.900234,1.000000,-0.002288,-0.003433,0.000000,7389.472168,1.000000,1.000000,0.000000,0.000000,-40.315033,-40.315033,-40.315033,-40.315033,0.000000,193.227448,-0.020420,-0.020420,-0.020420,-0.020420,
12.728933,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.020990,-0.001531,0.001093,0.005519,0.976239,-0.001052,0.216696,0.216661,0.023557,-0.975963,11.469873,11.542024,11.694291,11.654170,-26.110039,-26.031586,-26.665714,-26.681644,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006274,0.000000,0.900234,1.000000,0.000291,-0.003366,0.000000,7319.169434,1.000000,1.000000,0.000000,0.000000,-39.622955,-39.622955,-39.622955,-39.622955,0.000000,195.502716,-0.020990,-0.020990,-0.020990,-0.020990,
12.826149,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.020452,-0.001095,0.000729,0.005527,0.976239,-0.001048,0.216697,0.216661,0.023554,-0.975963,11.451125,11.535393,11.694206,11.654096,-27.384193,-25.040190,-26.402777,-26.859850,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006286,0.000000,0.900234,1.000000,-0.001846,-0.001555,0.000000,7312.753418,1.000000,1.000000,0.000000,0.000000,-38.938751,-38.938751,-38.938751,-38.938751,0.000000,191.211441,-0.020452,-0.020452,-0.020452,-0.020452,
12.929201,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.019586,-0.001333,0.000929,0.005192,0.976238,-0.001057,0.216700,0.216664,0.023555,-0.975962,11.470842,11.541351,11.694570,11.655200,-26.190523,-25.991131,-26.592503,-26.574669,-0.005016,-0.005016,0.000000,0.000000,1.000000,-0.006286,0.000000,0.900234,1.000000,0.001348,0.002312,0.000000,7308.212402,1.000000,1.000000,0.000000,0.000000,-38.262665,-38.262665,-38.262665,-38.262665,0.000000,194.393478,-0.037645,-0.037645,-0.019586,-0.019586,
13.034389,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.019454,-0.001331,0.000806,0.005175,0.976238,-0.001049,0.216697,0.216661,0.023554,-0.975963,11.468298,11.537590,11.695260,11.654693,-26.051176,-25.008486,-26.562527,-26.577812,-0.005067,-0.005067,0.000000,0.000000,1.000000,-0.006286,0.000000,0.900234,1.000000,0.000292,0.002420,0.000000,7380.019043,1.000000,1.000000,0.000000,0.000000,-37.594208,-37.594208,-37.594208,-37.594208,0.000000,194.421753,-0.037693,-0.037693,-0.019454,-0.019454,
13.128487,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.020616,-0.001030,0.000954,0.005552,0.976239,-0.001062,0.216695,0.216659,0.023552,-0.975963,11.470314,11.539317,11.701512,11.655567,-26.031096,-25.138247,-27.738913,-26.772305,0.000000,0.000000,0.000000,0.000000,1.000000,-0.006286,0.000000,0.900234,1.000000,-0.002710,-0.001413,0.000000,7304.774902,1.000000,1.000000,0.000000,0.000000,-36.933380,-36.933380,-36.933380,-36.933380,0.000000,190.515137,-0.020616,-0.020616,-0.020616,-0.020616,
13.233396,0.000000,-1.908707,0.000000,1012.534668,536.007141,2326.162109,0.019665,-0.001427,0.000951,0.005186,0.976238,-0.001053,0.216699,0.216663,0.023556,-0.975962,11.470007,11.543489,11.695009,11.655005,-26.154016,-26.094980,-26.590282,-26.579535,-0.005008,-0.005008,0.000000,0.000000,1.000000,-0.006286,0.000000,0.900234,1.000000,0.000310,0.002302,0.000000,7388.817871,1.000000,1.000000,0.000000,0.000000,-36.279999,-36.279999,-36.279999,-36.279999,0.000000,195.385727,-0.037694,-0.037694,-0.019665,-0.019665,
