Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
43.587494,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.021555,-0.001398,-0.001412,0.005648,0.976250,-0.000991,0.216645,0.216608,0.023517,-0.975975,11.469691,11.508342,11.673894,11.650396,-26.172567,-25.880825,-25.170034,-26.400114,0.000000,0.000000,0.000000,0.000000,1.000000,-0.015174,0.000000,0.900234,1.000000,0.001679,-0.000886,0.000000,7387.196777,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,193.902039,-0.021555,-0.021555,-0.021555,-0.021555,
43.699356,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.021280,-0.001250,-0.001747,0.005507,0.976250,-0.000978,0.216644,0.216607,0.023520,-0.975976,11.471621,11.508723,11.651944,11.651746,-26.015530,-26.079443,-26.426947,-26.492723,0.000000,0.000000,0.000000,0.000000,1.000000,-0.015044,0.000000,0.900234,1.000000,-0.000982,0.001014,0.000000,7309.218262,1.000000,1.000000,0.000000,0.000000,-41.604767,-41.604767,-41.604767,-41.604767,0.000000,192.783539,-0.021280,-0.021280,-0.021280,-0.021280,
43.798016,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.021093,-0.001154,-0.001616,0.005512,0.976250,-0.000980,0.216642,0.216605,0.023513,-0.975976,11.474754,11.512422,11.658790,11.654352,-26.018881,-26.073471,-26.637535,-26.485689,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014947,0.000000,0.900234,1.000000,0.000108,-0.000070,0.000000,7358.886230,1.000000,1.000000,0.000000,0.000000,-40.897858,-40.897858,-40.897858,-40.897858,0.000000,191.827133,-0.021093,-0.021093,-0.021093,-0.021093,
43.904964,0.000000,-4.974785,0.000000,1012.546631,536.008423,2326.216309,0.020544,-0.001074,-0.000538,0.005579,0.976249,-0.000981,0.216647,0.216610,0.023518,-0.975975,11.497525,11.535522,11.689370,11.680861,-25.788319,-25.862980,-27.501396,-26.266781,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014958,0.000000,0.900234,1.000000,-0.000598,0.000115,0.000000,7331.903809,1.000000,1.000000,0.000000,0.000000,-40.199127,-40.199127,-40.199127,-40.199127,0.000000,190.896118,-0.020544,-0.020544,-0.020544,-0.020544,
44.002266,0.000000,-4.974785,0.000000,1012.546631,536.008423,2326.216309,0.021065,-0.001196,0.000694,0.005686,0.976251,-0.000983,0.216642,0.216605,0.023519,-0.975976,11.497894,11.537031,11.681665,11.674665,-26.168892,-26.331568,-26.631191,-25.516499,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014901,0.000000,0.900234,1.000000,-0.001770,0.000131,0.000000,7412.685059,1.000000,1.000000,0.000000,0.000000,-39.508453,-39.508453,-39.508453,-39.508453,0.000000,191.878876,-0.021065,-0.021065,-0.021065,-0.021065,
44.100735,0.000000,-4.974785,0.000000,1012.546631,536.008423,2326.216309,0.021728,-0.001436,0.001534,0.005658,0.976250,-0.000986,0.216643,0.216606,0.023517,-0.975976,11.493960,11.531832,11.678062,11.655366,-26.266445,-25.963186,-26.671926,-27.953175,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014901,0.000000,0.900234,1.000000,0.001644,-0.000916,0.000000,7430.507324,1.000000,1.000000,0.000000,0.000000,-38.825531,-38.825531,-38.825531,-38.825531,0.000000,194.240448,-0.021728,-0.021728,-0.021728,-0.021728,
44.206848,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.020753,-0.001163,0.000783,0.005592,0.976251,-0.000983,0.216642,0.216604,0.023515,-0.975976,11.459921,11.498952,11.648110,11.640888,-25.966328,-26.119410,-27.622458,-26.491724,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014907,0.000000,0.900234,1.000000,-0.001709,0.001170,0.000000,7443.144043,1.000000,1.000000,0.000000,0.000000,-38.150726,-38.150726,-38.150726,-38.150726,0.000000,191.746277,-0.020753,-0.020753,-0.020753,-0.020753,
44.303413,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.020596,-0.001060,-0.000052,0.005622,0.976250,-0.000981,0.216646,0.216609,0.023518,-0.975975,11.459081,11.497209,11.644399,11.636528,-26.008116,-26.058382,-26.631020,-26.308910,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014793,0.000000,0.900234,1.000000,0.000358,-0.000019,0.000000,7322.479980,1.000000,1.000000,0.000000,0.000000,-37.483551,-37.483551,-37.483551,-37.483551,0.000000,190.676117,-0.020596,-0.020596,-0.020596,-0.020596,
44.399281,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.020573,-0.001116,-0.000554,0.005577,0.976250,-0.000979,0.216646,0.216609,0.023517,-0.975975,11.462828,11.500087,11.647286,11.642852,-26.002285,-26.039013,-26.610897,-26.455614,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014805,0.000000,0.900234,1.000000,0.000168,0.000017,0.000000,7444.296387,1.000000,1.000000,0.000000,0.000000,-36.823883,-36.823883,-36.823883,-36.823883,0.000000,191.320450,-0.020573,-0.020573,-0.020573,-0.020573,
44.506680,0.000000,-4.974785,0.000000,1012.546631,536.008484,2326.216309,0.020622,-0.001188,-0.000785,0.005549,0.976250,-0.000977,0.216646,0.216608,0.023513,-0.975975,11.468817,11.505296,11.650167,11.648279,-26.022655,-26.034216,-26.499252,-26.457975,0.000000,0.000000,0.000000,0.000000,1.000000,-0.014805,0.000000,0.900234,1.000000,0.000109,-0.000035,0.000000,7331.259277,1.000000,1.000000,0.000000,0.000000,-36.171844,-36.171844,-36.171844,-36.171844,0.000000,192.083481,-0.020622,-0.020622,-0.020622,-0.020622,
