Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
20.473715,0.000000,0.000000,0.000000,2857.475586,531.070190,-2892.347412,0.014796,-0.003620,-0.001463,0.001284,-0.863179,-0.069092,0.500149,0.504136,-0.063518,0.861285,-27.782799,-36.782288,-49.855091,-27.131342,-35.315464,-35.866085,-34.206295,-34.236038,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010084,0.000000,0.889162,1.000000,-0.000591,-0.001742,0.000000,8310.026367,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,250.470673,-0.014796,-0.014796,-0.014796,-0.014796,
20.573917,0.000000,0.000000,0.000000,2857.475586,531.070190,-2892.347412,0.014503,-0.003456,-0.001538,0.001385,-0.863182,-0.069088,0.500143,0.504130,-0.063509,0.861290,-27.752424,-36.782970,-49.818104,-27.164461,-33.905731,-35.546463,-32.341763,-34.763676,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010084,0.000000,0.889162,1.000000,0.004768,-0.003833,0.000000,8346.051758,1.000000,1.000000,0.000000,0.000000,-41.723358,-41.723358,-41.723358,-41.723358,0.000000,248.156189,-0.014503,-0.014503,-0.014503,-0.014503,
20.677296,0.000000,0.000000,0.000000,2857.475586,531.070190,-2892.347412,0.014770,-0.003539,-0.001644,0.001267,-0.863172,-0.069082,0.500161,0.504148,-0.063518,0.861279,-27.752167,-36.784107,-49.822277,-27.182388,-33.963547,-35.366531,-32.206825,-35.717781,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010084,0.000000,0.889162,1.000000,0.006788,-0.001583,0.000000,8494.489258,1.000000,1.000000,0.000000,0.000000,-40.897858,-40.897858,-40.897858,-40.897858,0.000000,250.301544,-0.014770,-0.014770,-0.014770,-0.014770,
20.780909,0.000000,0.000000,0.000000,2857.475586,531.070190,-2892.347412,0.020701,-0.004951,-0.001760,0.002336,-0.863169,-0.069062,0.500171,0.504155,-0.063510,0.861275,-27.769974,-36.787540,-49.843826,-27.144966,-36.869347,-36.527103,-35.924137,-32.779797,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010084,0.000000,0.889162,1.000000,-0.008030,0.000791,0.000000,8488.805664,1.000000,1.000000,0.000000,0.000000,-40.199127,-40.199127,-40.199127,-40.199127,0.000000,244.736633,-0.020701,-0.020701,-0.020701,-0.020701,
20.882004,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.016705,-0.003666,-0.001889,0.002128,-0.863167,-0.069103,0.500166,0.504155,-0.063522,0.861274,-27.783886,-36.781567,-49.858074,-27.133530,-35.441555,-36.299149,-33.903320,-34.125919,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010026,0.000000,0.889162,1.000000,-0.002402,0.005141,0.000000,8391.872070,1.000000,1.000000,0.000000,0.000000,-39.508453,-39.508453,-39.508453,-39.508453,0.000000,239.870163,-0.016705,-0.016705,-0.016705,-0.016705,
20.983978,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.013617,-0.003497,-0.000977,0.001061,-0.863171,-0.069110,0.500160,0.504149,-0.063526,0.861277,-27.714544,-36.738159,-49.819534,-27.147852,-35.430584,-35.741920,-34.394905,-35.027550,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009918,0.000000,0.889162,1.000000,0.000846,-0.001041,0.000000,8407.301758,1.000000,1.000000,0.000000,0.000000,-38.825531,-38.825531,-38.825531,-38.825531,0.000000,253.128845,-0.013617,-0.013617,-0.013617,-0.013617,
21.079893,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.013653,-0.003514,-0.000673,0.001256,-0.863168,-0.069083,0.500169,0.504156,-0.063520,0.861274,-27.720709,-36.749542,-49.785381,-27.152208,-34.057556,-35.368290,-32.204613,-35.643719,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009815,0.000000,0.889162,1.000000,0.008235,-0.001757,0.000000,8322.038086,1.000000,1.000000,0.000000,0.000000,-38.150726,-38.150726,-38.150726,-38.150726,0.000000,250.332306,-0.013653,-0.013653,-0.013653,-0.013653,
21.184526,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.017983,-0.004478,-0.000472,0.002162,-0.863167,-0.069061,0.500173,0.504157,-0.063513,0.861273,-27.752331,-36.754318,-49.778824,-27.106750,-34.931805,-36.517769,-33.714817,-34.809650,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009827,0.000000,0.889162,1.000000,-0.008724,0.000832,0.000000,8391.120117,1.000000,1.000000,0.000000,0.000000,-37.483551,-37.483551,-37.483551,-37.483551,0.000000,244.225098,-0.017983,-0.017983,-0.017983,-0.017983,
21.288635,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.016304,-0.003923,-0.000292,0.002245,-0.863176,-0.069080,0.500155,0.504141,-0.063518,0.861283,-27.721004,-36.756283,-49.822815,-27.148048,-35.438332,-36.260883,-34.053230,-33.928040,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009712,0.000000,0.889162,1.000000,-0.002365,0.004690,0.000000,8476.325195,1.000000,1.000000,0.000000,0.000000,-36.823883,-36.823883,-36.823883,-36.823883,0.000000,240.221649,-0.016304,-0.016304,-0.016304,-0.016304,
21.393152,0.000000,0.000000,0.000000,2857.475586,531.070129,-2892.347412,0.016020,-0.003774,-0.000184,0.002350,-0.863175,-0.069078,0.500158,0.504143,-0.063509,0.861282,-27.757353,-36.762249,-49.813259,-27.145691,-37.108139,-36.237759,-35.986782,-34.387486,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009381,0.000000,0.889162,1.000000,-0.004565,0.004152,0.000000,8382.653320,1.000000,1.000000,0.000000,0.000000,-36.063934,-36.063934,-36.063934,-36.063934,0.000000,238.087982,-0.016020,-0.016020,-0.016020,-0.016020,
