Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
10.349141,0.000000,-20.238098,0.000000,-585.542297,705.488098,-542.905518,0.646488,0.175776,-0.005758,-0.036315,0.187427,0.000010,0.982279,0.981525,-0.039155,-0.187283,51.085873,51.150764,51.992985,51.966293,-40.422062,-39.839993,-6.608643,-7.603420,0.191735,0.191735,0.195548,0.195548,0.594348,-0.041874,0.000000,0.940343,1.000000,0.007881,0.247674,0.000000,2435.765137,1.000000,1.000000,0.000000,0.000000,-113.483551,-113.483551,-113.483551,-113.483551,0.000000,78.327072,0.043758,0.043758,0.057486,0.057486,
10.452608,0.000000,-20.201508,0.000000,-585.501709,705.486694,-542.897217,1.788008,0.486184,-0.019290,-0.099663,0.187694,0.000022,0.982228,0.981494,-0.038632,-0.187554,50.278511,50.356831,52.824474,52.864834,-25.737648,-26.273050,-25.153790,-22.922543,0.497868,0.497868,0.499730,0.499730,0.674223,-0.038608,0.000000,0.925288,1.000000,0.007607,0.302880,0.000000,2473.680176,1.000000,1.000000,0.000000,0.000000,-111.698456,-111.698456,-111.698456,-111.698456,0.000000,78.415421,0.004316,0.004316,0.011020,0.011020,
10.564320,0.000000,-20.137741,0.000000,-585.435120,705.483948,-542.883728,2.945673,0.801309,-0.031637,-0.162555,0.188062,-0.000014,0.982157,0.981433,-0.038387,-0.187924,50.134277,50.184269,53.146957,53.159542,-26.650444,-29.451399,-20.104738,-18.254858,0.821508,0.821508,0.821562,0.821562,0.717977,-0.030630,0.000000,0.912002,1.000000,0.002311,0.352175,0.000000,2512.376465,1.000000,1.000000,0.000000,0.000000,-110.187408,-110.187408,-110.187408,-110.187408,0.000000,78.532455,0.011754,0.011754,0.011951,0.011951,
10.664227,0.000000,-20.038986,0.000000,-585.332886,705.482361,-542.863464,4.378108,1.193085,-0.017452,-0.235038,0.188351,0.000053,0.982102,0.981393,-0.038010,-0.188213,50.131966,49.960133,53.535759,53.430355,-44.991856,-48.812374,-32.445576,-29.507935,1.059425,1.059425,1.048545,1.048545,0.732412,-0.008737,0.000000,0.889601,1.000000,0.023047,0.438706,0.000000,2553.316406,1.000000,1.000000,0.000000,0.000000,-108.693573,-108.693573,-108.693573,-108.693573,0.000000,78.855408,-0.564176,-0.564177,-0.603345,-0.603344,
10.764341,0.000000,-19.897614,0.000000,-585.188293,705.477539,-542.834717,6.001507,1.632602,-0.064534,-0.331089,0.188881,-0.000103,0.982000,0.981306,-0.037564,-0.188752,48.669579,48.894741,53.514496,53.687408,-27.323898,-27.798744,-10.756936,-23.864019,1.685974,1.685974,1.682049,1.682049,0.718075,-0.026645,0.000000,0.882845,1.000000,0.030531,0.471343,0.000000,2545.972656,1.000000,1.000000,0.000000,0.000000,-107.216949,-107.216949,-107.216949,-107.216949,0.000000,78.535980,0.068001,0.068001,0.053870,0.053870,
10.865194,0.000000,-19.709656,0.000000,-584.999573,705.469849,-542.796631,7.568104,2.057357,-0.083384,-0.424017,0.189804,-0.000322,0.981822,0.981134,-0.037362,-0.189684,48.779266,48.924244,53.592491,53.649643,-23.728168,-25.349176,-34.335514,-21.793674,2.137428,2.137428,2.137236,2.137236,0.692071,-0.060328,0.000000,0.899778,1.000000,0.075052,0.410349,0.000000,2504.051270,1.000000,1.000000,0.000000,0.000000,-105.757172,-105.757172,-105.757172,-105.757172,0.000000,78.354507,0.126636,0.126635,0.125945,0.125945,
10.965883,0.000000,-19.480026,0.000000,-584.772583,705.460632,-542.749573,8.889614,2.416007,-0.095296,-0.501454,0.191465,-0.000278,0.981500,0.980795,-0.037826,-0.191339,49.083874,49.535061,53.343018,53.462349,-22.257887,-8.004432,-37.921898,-51.905689,2.507197,2.507197,2.512831,2.512831,0.671267,-0.041257,0.000000,0.915995,1.000000,0.012012,0.353753,0.000000,2478.001465,1.000000,1.000000,0.000000,0.000000,-104.314178,-104.314178,-104.314178,-104.314178,0.000000,78.274467,0.136295,0.136295,0.156578,0.156578,
11.065622,0.000000,-19.216156,0.000000,-584.511414,705.450073,-542.695313,10.114717,2.749175,-0.112981,-0.568655,0.193048,-0.000183,0.981189,0.980475,-0.038114,-0.192914,49.598743,49.734818,52.841053,53.186848,-30.546997,-10.177072,-52.296444,-33.775772,2.859923,2.859923,2.866140,2.866140,0.650872,-0.035358,0.000000,0.920995,1.000000,0.000892,0.338031,0.000000,2465.469727,1.000000,1.000000,0.000000,0.000000,-102.887787,-102.887787,-102.887787,-102.887787,0.000000,78.313423,0.181007,0.181007,0.203389,0.203389,
11.177432,0.000000,-18.845840,0.000000,-584.165833,705.435852,-542.623657,11.476574,3.119757,-0.126139,-0.643542,0.194756,-0.000027,0.980852,0.980123,-0.038525,-0.194613,49.789948,50.202583,53.026249,53.179268,-36.687035,0.674518,-41.970909,-34.817085,3.243879,3.243879,3.249502,3.249502,0.620832,-0.027661,0.000000,0.926478,1.000000,-0.010911,0.322446,0.000000,2450.428223,1.000000,1.000000,0.000000,0.000000,-101.244232,-101.244232,-101.244232,-101.244232,0.000000,78.344536,0.201391,0.201391,0.221633,0.221633,
11.277339,0.000000,-18.510132,0.000000,-583.836548,705.422424,-542.555420,12.566343,3.415790,-0.145638,-0.704137,0.196043,-0.000539,0.980595,0.979864,-0.038508,-0.195918,50.213482,50.249023,52.646759,52.313175,5.143855,2.524018,-43.259888,-65.889336,3.544669,3.544669,3.561462,3.561462,0.593545,-0.022722,0.000000,0.932764,1.000000,-0.011242,0.302068,0.000000,2438.130859,1.000000,1.000000,0.000000,0.000000,-99.852936,-99.852936,-99.852936,-99.852936,0.000000,78.352097,0.194464,0.194465,0.254920,0.254920,
