Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
12.332663,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004725,-0.000407,-0.000419,0.001175,-0.934413,0.022189,0.355500,0.354409,-0.041826,0.934155,-17.898977,-18.047583,-18.786539,-20.071264,-33.016514,-32.641941,-33.785164,-33.417545,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,-0.000210,0.000314,0.000000,7976.092773,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,199.120728,-0.004725,-0.004725,-0.004725,-0.004725,
12.431383,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004827,-0.000435,-0.000480,0.001174,-0.934413,0.022186,0.355500,0.354408,-0.041825,0.934155,-17.899345,-18.047323,-18.786533,-20.072119,-33.013969,-32.645584,-33.787174,-33.352425,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,-0.000122,0.000313,0.000000,7968.104492,1.000000,1.000000,0.000000,0.000000,-41.723358,-41.723358,-41.723358,-41.723358,0.000000,200.310059,-0.004827,-0.004827,-0.004827,-0.004827,
12.528414,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004677,-0.000399,-0.000497,0.001132,-0.934413,0.022186,0.355499,0.354408,-0.041826,0.934155,-17.898619,-18.046021,-18.786699,-20.069918,-33.034237,-32.691593,-33.800694,-33.479874,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,-0.000242,0.000432,0.000000,7967.274414,1.000000,1.000000,0.000000,0.000000,-41.015167,-41.015167,-41.015167,-41.015167,0.000000,199.420181,-0.004677,-0.004677,-0.004677,-0.004677,
12.623926,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004406,-0.000448,-0.000420,0.001059,-0.934413,0.022186,0.355499,0.354407,-0.041824,0.934155,-17.898241,-18.015770,-18.785633,-20.073866,-33.028793,-32.416599,-33.731346,-33.397835,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,0.000741,0.000601,0.000000,7970.155273,1.000000,1.000000,0.000000,0.000000,-40.315033,-40.315033,-40.315033,-40.315033,0.000000,202.912140,-0.004406,-0.004406,-0.004406,-0.004406,
12.731137,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004847,-0.000440,-0.000595,0.001125,-0.934414,0.022184,0.355497,0.354406,-0.041827,0.934156,-17.898874,-18.048191,-18.787373,-20.071527,-33.011406,-32.597988,-33.764320,-33.415890,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,-0.000159,0.000485,0.000000,7980.018555,1.000000,1.000000,0.000000,0.000000,-39.622955,-39.622955,-39.622955,-39.622955,0.000000,201.353363,-0.004847,-0.004847,-0.004847,-0.004847,
12.827678,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004844,-0.000506,-0.000652,0.001063,-0.934414,0.022183,0.355497,0.354406,-0.041825,0.934156,-17.898739,-18.047789,-18.787399,-20.072859,-33.016895,-32.587002,-33.783520,-33.340572,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016498,0.000000,0.889162,1.000000,0.000317,0.000709,0.000000,7967.088867,1.000000,1.000000,0.000000,0.000000,-38.938751,-38.938751,-38.938751,-38.938751,0.000000,205.447937,-0.004844,-0.004844,-0.004844,-0.004844,
12.923901,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004845,-0.000477,-0.000678,0.001060,-0.934414,0.022183,0.355497,0.354406,-0.041827,0.934156,-17.898624,-18.047462,-18.787762,-20.071918,-33.018524,-32.613007,-33.775463,-33.418053,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016383,0.000000,0.889162,1.000000,0.000048,0.000707,0.000000,7970.819336,1.000000,1.000000,0.000000,0.000000,-38.262665,-38.262665,-38.262665,-38.262665,0.000000,204.226715,-0.004845,-0.004845,-0.004845,-0.004845,
13.031498,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004999,-0.000515,-0.000740,0.001056,-0.934414,0.022181,0.355497,0.354406,-0.041826,0.934156,-17.898790,-18.047670,-18.787653,-20.073017,-33.021255,-32.588673,-33.781651,-33.341278,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016395,0.000000,0.889162,1.000000,0.000319,0.000728,0.000000,7986.366211,1.000000,1.000000,0.000000,0.000000,-37.594208,-37.594208,-37.594208,-37.594208,0.000000,205.993881,-0.004999,-0.004999,-0.004999,-0.004999,
13.128383,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004830,-0.000485,-0.000654,0.001066,-0.934414,0.022188,0.355497,0.354405,-0.041825,0.934156,-17.898403,-18.022339,-18.787092,-20.072567,-32.989750,-30.862640,-33.657143,-33.511787,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016395,0.000000,0.889162,1.000000,0.000094,0.000689,0.000000,7973.006836,1.000000,1.000000,0.000000,0.000000,-36.933380,-36.933380,-36.933380,-36.933380,0.000000,204.451630,-0.004830,-0.004830,-0.004830,-0.004830,
13.226663,0.000000,-2.214169,0.000000,-975.579529,601.331116,-1386.682861,0.004707,-0.000471,-0.000770,0.000946,-0.934415,0.022184,0.355496,0.354405,-0.041827,0.934156,-17.898264,-18.047850,-18.788488,-20.064114,-33.011269,-32.595955,-33.788620,-35.237724,0.000000,0.000000,0.000000,0.000000,1.000000,-0.016395,0.000000,0.889162,1.000000,-0.000650,0.001236,0.000000,7978.788086,1.000000,1.000000,0.000000,0.000000,-36.279999,-36.279999,-36.279999,-36.279999,0.000000,206.473557,-0.004707,-0.004707,-0.004707,-0.004707,
