Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
12.370572,0.000000,-2.291737,0.000000,1016.693970,2256.177002,-131.070038,0.025680,-0.000586,0.007065,-0.000789,0.997014,0.024202,-0.073331,-0.071748,-0.060807,-0.995568,4.698479,0.113646,-1.800400,2.570528,-27.895111,-32.368309,-25.182232,-40.214939,-0.010913,-0.010913,0.000000,0.000000,0.864256,-0.010443,0.000000,0.889162,1.000000,0.004937,0.003007,0.000000,9084.210938,1.000000,1.000000,0.000000,0.000000,-42.200104,-42.200104,-42.200104,-42.200104,0.000000,323.377869,-0.064965,-0.064965,-0.025680,-0.025680,
12.465088,0.000000,-2.291767,0.000000,1016.693970,2256.177246,-131.070084,0.010033,-0.000513,0.002724,0.000288,0.997015,0.024182,-0.073332,-0.071750,-0.060839,-0.995566,4.555287,-0.021205,-2.116839,2.406291,-27.069071,-32.435387,-33.615589,-39.845196,-0.003541,-0.003541,0.000000,0.000000,0.864256,-0.010443,0.000000,0.889162,1.000000,0.004285,0.004005,0.000000,9086.994141,1.000000,1.000000,0.000000,0.000000,-41.486481,-41.486481,-41.486481,-41.486481,0.000000,240.684357,-0.022779,-0.022779,-0.010033,-0.010033,
12.570912,0.000000,-2.291737,0.000000,1016.693970,2256.177246,-131.070023,0.005337,0.000440,0.000148,-0.001408,0.997016,0.024135,-0.073326,-0.071747,-0.060849,-0.995565,4.570127,-0.004406,-2.093817,2.423216,-27.093056,-32.433731,-33.502010,-39.564751,-0.010530,-0.010531,0.000000,0.000000,0.864256,-0.010443,0.000000,0.889162,1.000000,0.004245,0.003822,0.000000,9084.982422,1.000000,1.000000,0.000000,0.000000,-40.780853,-40.780853,-40.780853,-40.780853,0.000000,17.359930,-0.043246,-0.043246,-0.005337,-0.005337,
12.669122,0.000000,-2.291714,0.000000,1016.694031,2256.177246,-131.070023,0.010332,0.001998,-0.002051,0.000191,0.997018,0.024069,-0.073322,-0.071745,-0.060892,-0.995563,4.618338,0.024337,-2.085037,2.410412,-33.153275,-32.893394,-33.026611,-32.882294,0.003771,0.003771,0.000000,0.000000,0.864256,-0.010557,0.000000,0.889162,1.000000,-0.002219,0.001967,0.000000,9093.566406,1.000000,1.000000,0.000000,0.000000,-40.083466,-40.083466,-40.083466,-40.083466,0.000000,95.453835,0.003242,0.003242,-0.010332,-0.010332,
12.768586,0.000000,-2.291702,0.000000,1016.694031,2256.177246,-131.069992,0.020699,0.000564,-0.005662,-0.000828,0.997018,0.024065,-0.073325,-0.071748,-0.060900,-0.995562,4.491560,0.039258,-2.195648,2.434991,-32.995323,-33.255726,-40.398018,-33.611462,0.000000,0.000000,0.000000,0.000000,0.864256,-0.010545,0.000000,0.889162,1.000000,-0.003459,-0.000176,0.000000,9056.906250,1.000000,1.000000,0.000000,0.000000,-39.394135,-39.394135,-39.394135,-39.394135,0.000000,34.284081,-0.020699,-0.020699,-0.020699,-0.020699,
12.868154,0.000000,-2.291687,0.000000,1016.694031,2256.177002,-131.069992,0.022503,-0.000125,-0.006153,0.001093,0.997018,0.024059,-0.073327,-0.071751,-0.060903,-0.995561,4.626780,0.162144,-1.985575,2.553522,-26.560820,-25.089792,-15.647445,-24.466814,0.000000,0.000000,0.000000,0.000000,0.864256,-0.010545,0.000000,0.889162,1.000000,0.003059,-0.002704,0.000000,8981.632813,1.000000,1.000000,0.000000,0.000000,-38.712494,-38.712494,-38.712494,-38.712494,0.000000,186.546448,-0.022503,-0.022503,-0.022503,-0.022503,
12.968844,0.000000,-2.291748,0.000000,1016.694031,2256.177002,-131.070053,0.011147,-0.000043,-0.003087,-0.000238,0.997018,0.024067,-0.073323,-0.071746,-0.060882,-0.995563,4.767677,0.194126,-1.849154,2.602838,-27.203777,-33.101933,-33.332317,-32.600124,0.000000,0.000000,0.000000,0.000000,0.833982,-0.010545,0.000000,0.889162,1.000000,0.003361,0.001805,0.000000,9067.804688,1.000000,1.000000,0.000000,0.000000,-38.038971,-38.038971,-38.038971,-38.038971,0.000000,349.801239,-0.011147,-0.011147,-0.011147,-0.011147,
13.068704,0.000000,-2.291714,0.000000,1016.694031,2256.177002,-131.070023,0.005630,-0.000941,-0.001240,0.000149,0.997017,0.024118,-0.073324,-0.071745,-0.060860,-0.995565,4.753347,0.172146,-1.859303,2.623065,-27.256330,-32.856678,-34.028526,-40.377563,0.004212,0.004212,0.000000,0.000000,0.776364,-0.010431,0.000000,0.889162,1.000000,0.004495,0.000523,0.000000,9145.607422,1.000000,1.000000,0.000000,0.000000,-37.373077,-37.373077,-37.373077,-37.373077,0.000000,261.018250,0.009532,0.009532,-0.005630,-0.005630,
13.168489,0.000000,-2.291744,0.000000,1016.694031,2256.177002,-131.070053,0.005682,-0.001467,-0.000057,0.000579,0.997015,0.024159,-0.073333,-0.071752,-0.060826,-0.995566,4.740911,0.160227,-1.869869,2.612786,-27.255678,-32.754799,-33.760094,-40.154491,-0.004084,-0.004084,0.000000,0.000000,0.768551,-0.010443,0.000000,0.889162,1.000000,0.004051,-0.000394,0.000000,9155.265625,1.000000,1.000000,0.000000,0.000000,-36.714691,-36.714691,-36.714691,-36.714691,0.000000,248.448578,-0.020384,-0.020384,-0.005682,-0.005682,
13.263420,0.000000,-2.291790,0.000000,1016.693970,2256.177002,-131.070099,0.008880,-0.001946,0.001514,-0.000067,0.997014,0.024179,-0.073338,-0.071756,-0.060814,-0.995567,4.735278,0.149272,-1.884909,2.601300,-27.586279,-32.852177,-33.743134,-40.093899,0.000000,0.000000,0.000000,0.000000,0.768551,-0.010443,0.000000,0.889162,1.000000,0.004727,0.001777,0.000000,9133.039063,1.000000,1.000000,0.000000,0.000000,-36.063934,-36.063934,-36.063934,-36.063934,0.000000,271.981720,-0.008880,-0.008880,-0.008880,-0.008880,
