Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
12.353087,0.000000,-2.232656,0.000000,-83.494919,314.574707,403.287750,0.002450,-0.000170,0.000333,0.000568,0.037808,0.044057,-0.998313,-0.999126,0.019487,-0.036979,-16.665600,-20.469280,-19.089216,-17.499062,-33.748848,-32.331966,-34.321850,-33.137844,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024349,0.000000,0.889162,1.000000,-0.000045,0.000135,0.000000,7805.297852,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,196.660461,-0.002450,-0.002450,-0.002450,-0.002450,
12.452722,0.000000,-2.232649,0.000000,-83.494926,314.574707,403.287750,0.002624,-0.000245,0.000325,0.000605,0.037810,0.044055,-0.998313,-0.999126,0.019487,-0.036981,-16.651619,-20.470291,-19.093012,-17.498652,-32.930935,-32.291298,-33.432362,-33.066078,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024349,0.000000,0.889162,1.000000,0.000213,0.000204,0.000000,7804.370117,1.000000,1.000000,0.000000,0.000000,-41.723358,-41.723358,-41.723358,-41.723358,0.000000,202.007370,-0.002624,-0.002624,-0.002624,-0.002624,
12.557827,0.000000,-2.232649,0.000000,-83.494926,314.574707,403.287750,0.002197,-0.000036,0.000310,0.000524,0.037810,0.044057,-0.998313,-0.999126,0.019487,-0.036980,-16.647089,-20.469824,-19.090216,-17.498369,-33.674171,-32.340569,-34.227547,-33.143608,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024292,0.000000,0.889162,1.000000,-0.001044,-0.000224,0.000000,7807.583008,1.000000,1.000000,0.000000,0.000000,-41.015167,-41.015167,-41.015167,-41.015167,0.000000,183.910797,-0.002197,-0.002197,-0.002197,-0.002197,
12.654294,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.002413,0.000016,0.000319,0.000589,0.037811,0.044056,-0.998313,-0.999126,0.019487,-0.036982,-16.647539,-20.470396,-19.089922,-17.498703,-33.707592,-32.274002,-34.340553,-33.066593,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024298,0.000000,0.889162,1.000000,0.000863,-0.000099,0.000000,7820.053711,1.000000,1.000000,0.000000,0.000000,-40.315033,-40.315033,-40.315033,-40.315033,0.000000,178.492538,-0.002413,-0.002413,-0.002413,-0.002413,
12.753235,0.000000,-2.232649,0.000000,-83.494926,314.574707,403.287750,0.001796,0.000036,0.000274,0.000415,0.037811,0.044056,-0.998313,-0.999126,0.019487,-0.036981,-16.660551,-20.470776,-19.089739,-17.498932,-34.585262,-32.337437,-34.252743,-33.161209,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024298,0.000000,0.889162,1.000000,-0.000352,-0.000078,0.000000,7806.606445,1.000000,1.000000,0.000000,0.000000,-39.622955,-39.622955,-39.622955,-39.622955,0.000000,175.050766,-0.001796,-0.001796,-0.001796,-0.001796,
12.851291,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.002217,0.000042,0.000289,0.000542,0.037812,0.044055,-0.998313,-0.999126,0.019487,-0.036983,-16.647413,-20.470533,-19.093420,-17.498875,-33.722710,-32.288391,-33.454144,-33.074486,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024298,0.000000,0.889162,1.000000,0.000667,-0.000058,0.000000,7807.700195,1.000000,1.000000,0.000000,0.000000,-38.938751,-38.938751,-38.938751,-38.938751,0.000000,175.520447,-0.002217,-0.002217,-0.002217,-0.002217,
12.947285,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.001501,0.000048,0.000213,0.000355,0.037810,0.044060,-0.998313,-0.999126,0.019487,-0.036981,-16.660124,-20.470814,-19.103943,-17.500042,-34.478794,-32.419846,-35.358097,-33.275139,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024184,0.000000,0.889162,1.000000,-0.001032,0.000014,0.000000,7821.645508,1.000000,1.000000,0.000000,0.000000,-38.262665,-38.262665,-38.262665,-38.262665,0.000000,172.296753,-0.001501,-0.001501,-0.001501,-0.001501,
13.042237,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.001995,0.000040,0.000189,0.000519,0.037813,0.044058,-0.998313,-0.999126,0.019487,-0.036983,-16.663685,-20.471056,-19.092741,-17.499651,-33.822548,-32.318695,-33.421581,-33.132393,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024195,0.000000,0.889162,1.000000,0.000434,-0.000015,0.000000,7892.553711,1.000000,1.000000,0.000000,0.000000,-37.705109,-37.705109,-37.705109,-37.705109,0.000000,175.542068,-0.001995,-0.001995,-0.001995,-0.001995,
13.137212,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.001879,0.000027,0.000162,0.000495,0.037811,0.044059,-0.998313,-0.999126,0.019487,-0.036982,-16.662096,-20.470594,-19.089886,-17.498922,-34.484371,-32.349342,-34.203133,-33.178982,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024195,0.000000,0.889162,1.000000,-0.001091,-0.000071,0.000000,7879.838867,1.000000,1.000000,0.000000,0.000000,-37.043060,-37.043060,-37.043060,-37.043060,0.000000,176.845718,-0.001879,-0.001879,-0.001879,-0.001879,
13.233758,0.000000,-2.232641,0.000000,-83.494926,314.574707,403.287750,0.002003,0.000040,0.000256,0.000492,0.037811,0.044058,-0.998313,-0.999126,0.019486,-0.036982,-16.647606,-20.470919,-19.089052,-17.499666,-33.713390,-32.280205,-34.407967,-33.051064,0.000000,0.000000,0.000000,0.000000,1.000000,-0.024195,0.000000,0.889162,1.000000,0.000663,-0.000014,0.000000,7894.741211,1.000000,1.000000,0.000000,0.000000,-36.388336,-36.388336,-36.388336,-36.388336,0.000000,175.347885,-0.002003,-0.002003,-0.002003,-0.002003,
