Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
27.033302,0.000000,-19.806480,0.000000,-4896.765625,577.258850,1967.869385,5.109227,-0.085684,-0.157487,1.407860,-0.983722,0.136392,-0.117001,-0.132629,-0.111748,0.984846,-18.754303,-25.100840,-15.690250,-16.748867,0.018818,-50.931805,-73.178696,-102.510895,1.448966,1.448966,1.457980,1.457980,0.800000,-0.104986,0.000000,0.898120,1.000000,0.047007,0.307875,0.000000,2386.249512,1.000000,1.000000,0.000000,0.000000,-106.972504,-106.972504,-106.972504,-106.972504,0.000000,183.482788,0.107051,0.107051,0.139499,0.139499,
27.139891,0.000000,-19.641560,0.000000,-4896.774414,577.239746,1967.710938,6.215557,-0.097155,-0.220193,1.709687,-0.983984,0.137077,-0.113950,-0.129621,-0.111410,0.985285,-19.724268,-27.581068,-15.779145,-17.133247,-37.356773,-156.038818,-56.939869,-128.918854,1.791030,1.791030,1.792938,1.792938,0.800000,-0.094807,0.000000,0.897231,1.000000,0.052861,0.314253,0.000000,2387.531250,1.000000,1.000000,0.000000,0.000000,-105.515472,-105.515472,-105.515472,-105.515472,0.000000,183.252411,0.232150,0.232150,0.239021,0.239021,
27.237988,0.000000,-19.459484,0.000000,-4896.786133,577.215637,1967.522339,7.333654,-0.117838,-0.260812,2.016922,-0.984450,0.136430,-0.110656,-0.126172,-0.110867,0.985794,-19.679625,-26.418037,-14.546048,-16.901993,-30.198425,-91.958061,-44.702042,-26.440044,2.121163,2.121163,2.121390,2.121390,0.800000,-0.091164,0.000000,0.897116,1.000000,0.033981,0.316541,0.000000,2387.694824,1.000000,1.000000,0.000000,0.000000,-104.075287,-104.075287,-104.075287,-104.075287,0.000000,183.343704,0.302533,0.302533,0.303350,0.303350,
27.335815,0.000000,-19.248192,0.000000,-4896.797852,577.188232,1967.302368,8.460891,-0.130853,-0.284013,2.329351,-0.985029,0.135281,-0.106849,-0.122046,-0.109523,0.986463,-19.767130,-24.775448,-12.686135,-16.821310,53.611637,-31.500257,-31.196430,77.791710,2.444249,2.444249,2.447687,2.447687,0.800000,-0.090215,0.000000,0.897100,1.000000,0.010174,0.318500,0.000000,2387.719238,1.000000,1.000000,0.000000,0.000000,-102.651642,-102.651642,-102.651642,-102.651642,0.000000,183.215256,0.338406,0.338406,0.350783,0.350783,
27.432997,0.000000,-19.008316,0.000000,-4896.811523,577.158569,1967.051025,9.596212,-0.135466,-0.309108,2.644164,-0.985508,0.134948,-0.102778,-0.117792,-0.108434,0.987100,-19.275940,-24.667252,-12.202962,-18.679962,14.260560,49.735840,78.294258,-40.715065,2.776809,2.776809,2.780582,2.780582,0.800000,-0.083421,0.000000,0.897099,1.000000,0.011837,0.326984,0.000000,2387.719238,1.000000,1.000000,0.000000,0.000000,-101.244232,-101.244232,-101.244232,-101.244232,0.000000,182.932831,0.400301,0.400301,0.413882,0.413882,
27.539625,0.000000,-18.710756,0.000000,-4896.826172,577.124329,1966.768433,10.742880,-0.148114,-0.358835,2.958775,-0.986121,0.133341,-0.098926,-0.113500,-0.106526,0.987811,-20.684017,-25.471994,-12.794072,-18.281023,10.712716,-78.954926,-14.031343,-138.392654,3.144219,3.144219,3.154023,3.154023,0.793211,-0.078979,0.000000,0.894160,1.000000,0.038913,0.325893,0.000000,2384.149902,1.000000,1.000000,0.000000,0.000000,-99.852936,-99.852936,-99.852936,-99.852936,0.000000,182.865799,0.576309,0.576308,0.611604,0.611603,
27.638004,0.000000,-18.403191,0.000000,-4896.840820,577.087097,1966.453491,11.931338,-0.150931,-0.375932,3.289410,-0.986097,0.136733,-0.094429,-0.109233,-0.105150,0.988439,-19.737228,-25.596222,-14.566082,-13.062541,-7.562615,-52.513973,18.112291,-31.220318,3.488642,3.488643,3.488367,3.488367,0.766014,-0.074005,0.000000,0.893954,1.000000,0.043813,0.339179,0.000000,2357.135742,1.000000,1.000000,0.000000,0.000000,-98.477631,-98.477631,-98.477631,-98.477631,0.000000,182.627106,0.627773,0.627775,0.626784,0.626784,
27.736633,0.000000,-18.063236,0.000000,-4896.855957,577.044128,1966.106079,13.097193,-0.162901,-0.464012,3.604718,-0.986239,0.138592,-0.090136,-0.105077,-0.104551,0.988953,-20.685221,-30.465427,-17.442717,-14.593278,-66.024643,-112.144516,110.340240,55.436104,3.846647,3.846647,3.813325,3.813325,0.732529,-0.068654,0.000000,0.901042,1.000000,0.018954,0.324935,0.000000,2323.773926,1.000000,1.000000,0.000000,0.000000,-97.118134,-97.118134,-97.118134,-97.118134,0.000000,182.587509,0.750735,0.750735,0.630777,0.630777,
27.833721,0.000000,-17.699196,0.000000,-4896.873535,576.998047,1965.727661,14.193339,-0.176956,-0.460447,3.911614,-0.986706,0.138265,-0.085402,-0.100522,-0.106334,0.989236,-14.846792,-27.817301,-17.921522,-13.026203,145.008636,17.700359,1.233248,80.152626,4.072076,4.072076,4.096437,4.096437,0.696996,-0.067188,0.000000,0.909760,1.000000,0.005532,0.306913,0.000000,2295.766113,1.000000,1.000000,0.000000,0.000000,-95.774139,-95.774139,-95.774139,-95.774139,0.000000,182.590210,0.466134,0.466134,0.553834,0.553834,
27.941229,0.000000,-17.301590,0.000000,-4896.891113,576.951721,1965.320190,15.193243,-0.182307,-0.459751,4.191266,-0.987705,0.133934,-0.080626,-0.095013,-0.104742,0.989950,-13.484100,-26.430490,-19.198320,-13.907107,12.764524,200.098297,-20.085293,-24.271015,4.367560,4.367560,4.405899,4.405900,0.660326,-0.063765,0.000000,0.918911,1.000000,0.004589,0.279010,0.000000,2273.317383,1.000000,1.000000,0.000000,0.000000,-94.445831,-94.445831,-94.445831,-94.445831,0.000000,182.490631,0.529974,0.529974,0.667993,0.667994,
