Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
16.129913,0.000000,-20.059185,0.000000,-2996.380615,-148.231888,-2445.370117,5.796627,1.222644,0.170967,1.033717,-0.644029,0.003139,0.764995,0.762758,0.079165,0.641820,-88.744263,-73.835243,-35.905575,-46.760826,-179.815536,-156.310974,21.923613,17.870031,4.888897,2.409431,2.036403,3.050072,0.800000,0.021012,0.000000,0.599694,1.000000,0.000579,1.020666,0.000000,5490.137207,1.000000,1.000000,0.000000,0.000000,-111.698456,-111.698456,-111.698456,-111.698456,0.000000,130.213745,11.803403,2.877325,1.534423,5.183632,
16.227446,0.000000,-19.856190,0.000000,-2996.214844,-148.213150,-2445.509521,9.257194,1.964956,0.197512,1.646892,-0.645766,0.005852,0.763513,0.761132,0.084220,0.643106,-101.541939,-83.650826,-34.619511,-45.053211,-161.978912,-103.052620,49.203968,20.048309,6.424836,5.360677,4.782964,5.221537,0.800000,0.011291,0.000000,0.630432,1.000000,0.012595,1.002031,0.000000,5326.816895,1.000000,1.000000,0.000000,0.000000,-110.187408,-110.187408,-110.187408,-110.187408,0.000000,129.967438,13.872215,10.041244,7.961475,9.540338,
16.335081,0.000000,-19.561623,0.000000,-2995.974365,-148.192337,-2445.710693,12.830293,2.729741,0.210305,2.281704,-0.648724,0.010222,0.760955,0.758708,0.086619,0.645646,-105.929482,-89.265251,-36.399811,-46.930222,-116.354630,-29.095354,-74.229698,-32.590424,10.102599,9.192540,8.901447,9.129625,0.800000,0.000879,0.000000,0.500609,1.000000,0.008280,1.094536,0.000000,5141.016113,1.000000,1.000000,0.000000,0.000000,-108.693573,-108.693573,-108.693573,-108.693573,0.000000,129.891174,23.539063,20.262850,19.214916,20.036356,
16.430765,0.000000,-19.112392,0.000000,-2995.641602,-148.166168,-2445.989502,17.638678,3.743278,0.306508,3.146479,-0.651865,0.013411,0.758216,0.755948,0.090769,0.648309,-111.240067,-95.708611,-29.089365,-43.481377,21.299515,-141.346725,87.281624,30.681959,11.676681,11.435820,10.156023,10.892726,0.800000,-0.007057,0.000000,0.000000,1.000000,-0.005006,1.381064,0.000000,4743.403320,1.000000,1.000000,0.000000,0.000000,-107.216949,-107.216949,-107.216949,-107.216949,0.000000,130.049332,24.397371,23.530272,18.923004,21.575134,
16.537256,0.000000,-18.585499,0.000000,-2995.217773,-148.131607,-2446.347900,21.478130,4.539721,0.380451,3.852415,-0.652585,0.011896,0.757622,0.755543,0.085875,0.649446,-111.461555,-96.550781,-32.608776,-43.949963,113.416458,2.826905,35.466328,-144.651794,11.029091,6.678162,6.331013,9.938742,0.000000,0.003060,0.154494,0.000000,1.000000,-0.021420,0.825213,0.000000,3649.503906,1.000000,1.000000,0.000000,0.000000,-104.596283,-105.067596,-105.139862,-104.747833,0.000000,130.317978,18.226597,2.563253,1.313515,14.301339,
16.634830,0.000000,-17.981808,0.000000,-2994.743164,-148.090103,-2446.752197,22.700499,4.789978,0.401789,4.081232,-0.651825,0.010034,0.758303,0.756510,0.078583,0.649244,-96.987236,-90.825752,-51.798176,-50.374840,272.269379,8.120533,-198.795502,-174.275986,5.942284,5.618597,6.285668,6.273529,0.000000,-0.014685,0.264501,0.000000,1.000000,0.014298,-0.123546,0.000000,2590.761230,1.000000,1.000000,0.000000,0.000000,-100.835297,-101.683014,-101.564362,-100.871429,0.000000,130.432159,-1.308276,-2.473549,-0.072094,-0.115796,
16.733204,0.000000,-17.372841,0.000000,-2994.277344,-148.057465,-2447.148682,21.529686,4.553073,0.276512,3.867695,-0.651381,0.010739,0.758675,0.757408,0.068662,0.649322,-82.249260,-85.508072,-69.814590,-57.775848,155.838058,0.022490,-369.022369,35.020771,5.365388,5.130411,5.410173,5.608632,0.000000,-0.019085,0.215454,0.682569,1.000000,-0.000206,-0.359117,0.000000,2299.933838,1.000000,1.000000,0.000000,0.000000,-97.609406,-98.487885,-98.238678,-97.530548,0.000000,130.346863,-2.214288,-3.060207,-2.053061,-1.338612,
16.832155,0.000000,-16.731274,0.000000,-2993.836426,-148.032730,-2447.522217,20.375137,4.318985,0.215559,3.651409,-0.650606,0.016456,0.759237,0.758688,0.057829,0.648883,-69.323792,-75.055931,-79.673683,-62.376228,133.952423,122.083931,-235.916656,-205.600372,5.224864,5.212339,5.297055,5.372808,0.000000,-0.025089,0.141492,0.939411,1.000000,0.034945,-0.272795,0.000000,2196.047607,1.000000,1.000000,0.000000,0.000000,-95.010040,-95.887299,-95.600800,-94.882721,0.000000,130.212250,-1.565626,-1.610718,-1.305740,-1.033027,
16.931463,0.000000,-16.181633,0.000000,-2993.414307,-148.010361,-2447.876953,19.543461,4.156196,0.219953,3.485522,-0.649246,0.021662,0.760270,0.760145,0.052238,0.647650,-61.247829,-65.768242,-75.979706,-66.223602,24.306353,3.170506,-197.755478,110.326897,5.128821,5.137613,5.208961,5.289227,0.000000,-0.026862,0.092965,0.967481,1.000000,0.008292,-0.196241,0.000000,2133.585938,1.000000,1.000000,0.000000,0.000000,-92.860809,-93.728363,-93.424713,-92.710419,0.000000,129.984283,-1.079704,-1.048053,-0.791199,-0.502245,
17.030853,0.000000,-15.652554,0.000000,-2993.006836,-147.987167,-2448.218750,18.917217,4.018662,0.253362,3.376226,-0.646407,0.017077,0.762801,0.762630,0.045281,0.645248,-56.358955,-63.520401,-66.695145,-66.359207,112.283287,-80.996407,66.864334,-251.969391,5.051465,5.047498,5.107246,5.138399,0.000000,-0.020183,0.056845,0.985663,1.000000,0.004397,-0.153269,0.000000,2091.484131,1.000000,1.000000,0.000000,0.000000,-91.044586,-91.900970,-91.593048,-90.882965,0.000000,130.034851,-0.731943,-0.746226,-0.531132,-0.418983,
