Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
38.589321,0.000000,-2.221161,0.000000,-1233.995483,229.422012,-2607.261719,0.002184,-0.000032,-0.000041,-0.000604,-0.987037,0.001027,0.160491,0.160248,-0.049050,0.985857,21.965195,21.877348,21.143435,21.232542,-26.453667,-26.340603,-27.579021,-27.726065,0.000000,0.000000,0.000000,0.000000,0.724605,0.022229,0.000000,0.910912,1.000000,-0.005812,-0.000888,0.000000,7827.866211,1.000000,1.000000,0.000000,0.000000,-42.560089,-42.560089,-42.560089,-42.560089,0.000000,356.929230,-0.002184,-0.002184,-0.002184,-0.002184,
38.688553,0.000000,-2.220917,0.000000,-1233.995483,229.422012,-2607.261719,0.002903,0.000500,0.000193,-0.000602,-0.987036,0.001015,0.160496,0.160253,-0.049048,0.985857,21.961893,21.876759,21.142351,21.234434,-26.349491,-26.220306,-27.628729,-27.916430,0.000000,0.000000,0.000000,0.000000,0.768551,0.023738,0.000000,0.910912,1.000000,-0.002489,-0.000313,0.000000,7836.684570,1.000000,1.000000,0.000000,0.000000,-41.842194,-41.842194,-41.842194,-41.842194,0.000000,39.706055,-0.002903,-0.002903,-0.002903,-0.002903,
38.791771,0.000000,-2.220917,0.000000,-1233.995483,229.422012,-2607.261719,0.004128,0.000906,0.000351,-0.000609,-0.987035,0.001008,0.160500,0.160258,-0.049051,0.985856,21.960716,21.871971,21.142754,21.232637,-26.530237,-26.656712,-28.124498,-27.659052,0.000000,0.000000,0.000000,0.000000,0.812497,0.027730,0.000000,0.910912,1.000000,0.002636,0.000345,0.000000,7843.696289,1.000000,1.000000,0.000000,0.000000,-41.132660,-41.132660,-41.132660,-41.132660,0.000000,56.120686,-0.004128,-0.004128,-0.004128,-0.004128,
38.894840,0.000000,-2.220917,0.000000,-1233.995483,229.422028,-2607.261719,0.002899,-0.000042,0.000529,-0.000606,-0.987037,0.001024,0.160492,0.160249,-0.049049,0.985857,21.961691,21.873987,21.145355,21.229258,-26.490255,-26.322784,-27.165592,-27.726818,0.000000,0.000000,0.000000,0.000000,0.829099,0.033070,0.000000,0.910912,1.000000,-0.005824,-0.000896,0.000000,7956.616211,1.000000,1.000000,0.000000,0.000000,-40.315033,-40.315033,-40.315033,-40.315033,0.000000,356.054382,-0.002899,-0.002899,-0.002899,-0.002899,
38.996220,0.000000,-2.220917,0.000000,-1233.995483,229.422028,-2607.261719,0.002806,0.000493,0.000031,-0.000603,-0.987036,0.001014,0.160496,0.160253,-0.049048,0.985857,21.951939,21.867001,21.131544,21.223534,-26.313875,-26.188547,-27.606091,-27.883734,0.000000,0.000000,0.000000,0.000000,0.841794,0.032388,0.000000,0.910912,1.000000,-0.002474,-0.000306,0.000000,7954.409180,1.000000,1.000000,0.000000,0.000000,-39.622955,-39.622955,-39.622955,-39.622955,0.000000,39.256573,-0.002806,-0.002806,-0.002806,-0.002806,
39.094364,0.000000,-2.220917,0.000000,-1233.995483,229.422028,-2607.261719,0.004048,0.000915,-0.000168,-0.000631,-0.987036,0.001009,0.160499,0.160257,-0.049049,0.985856,21.953543,21.864496,21.132879,21.224243,-26.512493,-26.622686,-27.842377,-27.628790,0.000000,0.000000,0.000000,0.000000,0.845701,0.032006,0.000000,0.910912,1.000000,0.002757,0.000309,0.000000,7950.258789,1.000000,1.000000,0.000000,0.000000,-38.938751,-38.938751,-38.938751,-38.938751,0.000000,55.414825,-0.004048,-0.004048,-0.004048,-0.004048,
39.193657,0.000000,-2.221161,0.000000,-1233.995483,229.422028,-2607.261719,0.004083,0.000907,-0.000267,-0.000626,-0.987036,0.001008,0.160498,0.160256,-0.049048,0.985856,21.959965,21.865036,21.133661,21.224686,-26.414579,-26.396793,-27.848095,-27.337206,0.000000,0.000000,0.000000,0.000000,0.845701,0.031742,0.000000,0.910912,1.000000,0.000671,0.000229,0.000000,7960.815430,1.000000,1.000000,0.000000,0.000000,-38.262665,-38.262665,-38.262665,-38.262665,0.000000,55.387993,-0.004083,-0.004083,-0.004083,-0.004083,
39.289299,0.000000,-2.221161,0.000000,-1233.995483,229.422028,-2607.261719,0.003915,0.000789,-0.000380,-0.000644,-0.987037,0.001017,0.160492,0.160250,-0.049049,0.985857,21.960817,21.864912,21.135115,21.219484,-26.266584,-26.521646,-27.881891,-27.941097,0.000000,0.000000,0.000000,0.000000,0.845701,0.031675,0.000000,0.910912,1.000000,0.005109,0.000596,0.000000,7951.215820,1.000000,1.000000,0.000000,0.000000,-37.705109,-37.705109,-37.705109,-37.705109,0.000000,50.768059,-0.003915,-0.003915,-0.003915,-0.003915,
39.385757,0.000000,-2.220917,0.000000,-1233.995483,229.422028,-2607.261719,0.002699,0.000070,-0.000423,-0.000615,-0.987036,0.001022,0.160495,0.160253,-0.049049,0.985857,21.955683,21.871105,21.134701,21.226328,-26.155369,-26.597099,-27.577072,-28.070965,0.000000,0.000000,0.000000,0.000000,0.845701,0.030604,0.000000,0.910912,1.000000,-0.005513,-0.000889,0.000000,7961.694336,1.000000,1.000000,0.000000,0.000000,-37.043060,-37.043060,-37.043060,-37.043060,0.000000,6.453658,-0.002699,-0.002699,-0.002699,-0.002699,
39.485344,0.000000,-2.220917,0.000000,-1233.995483,229.422012,-2607.261719,0.002197,-0.000027,-0.000005,-0.000610,-0.987036,0.001025,0.160495,0.160252,-0.049049,0.985857,21.965254,21.877316,21.143431,21.232496,-26.464010,-26.351555,-27.584036,-27.735189,0.000000,0.000000,0.000000,0.000000,0.845701,0.029224,0.000000,0.910912,1.000000,-0.005824,-0.000912,0.000000,7829.672852,1.000000,1.000000,0.000000,0.000000,-36.388336,-36.388336,-36.388336,-36.388336,0.000000,357.503082,-0.002197,-0.002197,-0.002197,-0.002197,
39.583652,0.000000,-2.220917,0.000000,-1233.995483,229.422012,-2607.261719,0.002295,-0.000025,0.000229,-0.000595,-0.987036,0.001026,0.160494,0.160251,-0.049049,0.985857,21.964033,21.875927,21.141960,21.233234,-26.478760,-26.348166,-27.593576,-28.075737,0.000000,0.000000,0.000000,0.000000,0.845701,0.028678,0.000000,0.910912,1.000000,-0.005708,-0.000849,0.000000,7839.360352,1.000000,1.000000,0.000000,0.000000,-35.741302,-35.741302,-35.741302,-35.741302,0.000000,357.581818,-0.002295,-0.002295,-0.002295,-0.002295,
39.684471,0.000000,-2.220917,0.000000,-1233.995483,229.422012,-2607.261719,0.002487,-0.000047,0.000374,-0.000579,-0.987037,0.001025,0.160492,0.160250,-0.049050,0.985857,21.961411,21.874559,21.140806,21.231726,-26.202415,-26.340628,-27.597387,-28.063795,0.000000,0.000000,0.000000,0.000000,0.845701,0.028591,0.000000,0.910912,1.000000,-0.005695,-0.000797,0.000000,7947.631836,1.000000,1.000000,0.000000,0.000000,-35.101837,-35.101837,-35.101837,-35.101837,0.000000,355.327881,-0.002487,-0.002487,-0.002487,-0.002487,
39.786926,0.000000,-2.221161,0.000000,-1233.995483,229.422028,-2607.261719,0.002734,-0.000033,0.000482,-0.000586,-0.987037,0.001027,0.160491,0.160248,-0.049049,0.985857,21.960646,21.873657,21.139668,21.230970,-26.200584,-26.332575,-27.574551,-28.059202,0.000000,0.000000,0.000000,0.000000,0.845701,0.028608,0.000000,0.910912,1.000000,-0.005678,-0.000790,0.000000,7923.901367,1.000000,1.000000,0.000000,0.000000,-34.469513,-34.469513,-34.469513,-34.469513,0.000000,356.816010,-0.002734,-0.002734,-0.002734,-0.002734,
39.883610,0.000000,-2.220917,0.000000,-1233.995483,229.422028,-2607.261719,0.002818,0.000496,0.000034,-0.000605,-0.987036,0.001014,0.160495,0.160253,-0.049048,0.985857,21.952112,21.867027,21.131418,21.223574,-26.322645,-26.193871,-27.604403,-27.890472,0.000000,0.000000,0.000000,0.000000,0.845701,0.028494,0.000000,0.910912,1.000000,-0.002485,-0.000300,0.000000,7923.178711,1.000000,1.000000,0.000000,0.000000,-33.844513,-33.844513,-33.844513,-33.844513,0.000000,39.368950,-0.002818,-0.002818,-0.002818,-0.002818,
