Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
15.933804,0.000000,-19.825500,0.000000,-1499.461548,552.471375,1673.316040,9.887396,1.244894,-0.022026,2.448062,-0.892500,0.033914,0.449771,0.449933,-0.003116,0.893057,-42.263145,-46.057331,-2.979072,-3.795220,-96.364075,-72.242233,35.439041,18.320229,6.954334,6.954334,6.602461,6.602461,0.800000,0.056783,0.000000,0.687088,1.000000,-0.010498,1.080999,0.000000,5169.004883,1.000000,1.000000,0.000000,0.000000,-111.445404,-111.445404,-111.445404,-111.445404,0.000000,153.045639,15.148207,15.148207,13.881465,13.881463,
16.027338,0.000000,-19.525528,0.000000,-1499.337036,552.466980,1673.069946,13.562315,1.697664,-0.068781,3.362414,-0.893419,0.032443,0.448052,0.448296,0.000269,0.893885,-48.321430,-48.531456,-2.157767,-5.435234,-54.598373,40.109676,3.727801,-26.474182,11.975755,11.975754,11.715680,11.715680,0.653812,0.051331,0.000000,0.313348,1.000000,-0.011149,1.589652,0.000000,4591.335938,1.000000,1.000000,0.000000,0.000000,-110.187408,-110.187408,-110.187408,-110.187408,0.000000,153.211044,29.550400,29.550396,28.614132,28.614132,
16.134735,0.000000,-19.038658,0.000000,-1499.094116,552.457214,1672.587158,18.838665,2.347284,-0.076054,4.676363,-0.895036,0.031180,0.444902,0.445230,0.004133,0.895407,-52.739048,-54.015877,-0.538817,-1.136109,35.573448,110.217552,-254.182465,125.168610,9.358382,9.358381,8.599911,8.599911,0.380573,0.035451,0.000000,0.000000,1.000000,-0.015342,1.199812,0.000000,3417.734131,1.000000,1.000000,0.000000,0.000000,-108.446320,-108.446320,-108.446320,-108.446320,0.000000,153.345779,14.851510,14.851507,12.121013,12.121013,
16.229008,0.000000,-18.507759,0.000000,-1498.881958,552.449158,1672.163452,21.250090,2.636541,-0.102144,5.280275,-0.896202,0.029611,0.442657,0.442864,0.000478,0.896589,-50.958748,-57.036499,-3.804104,-2.739138,101.548965,-124.617752,10.422609,74.648773,6.203302,6.203302,6.324659,6.324659,0.000000,0.021276,0.164766,0.540449,1.000000,-0.015796,0.378598,0.000000,2438.536865,1.000000,1.000000,0.000000,0.000000,-106.474396,-106.474396,-106.483734,-106.483734,0.000000,153.466171,1.081798,1.081798,1.518683,1.518683,
16.321508,0.000000,-17.962807,0.000000,-1498.620605,552.436340,1671.638306,20.881941,2.582586,-0.148543,5.191767,-0.897091,0.028062,0.440953,0.440831,-0.010744,0.897526,-40.495167,-45.608238,-18.734861,-18.492985,22.464670,100.519234,108.130081,-316.956207,5.283106,5.283106,5.454504,5.454504,0.000000,0.011409,0.169700,0.998617,1.000000,0.004614,-0.186579,0.000000,2206.115723,1.000000,1.000000,0.000000,0.000000,-103.679108,-103.679108,-103.640350,-103.640350,0.000000,153.552460,-1.862758,-1.862758,-1.245728,-1.245728,
16.416998,0.000000,-17.415680,0.000000,-1498.366821,552.420166,1671.128296,20.281487,2.510610,-0.189579,5.039841,-0.897596,0.029082,0.439859,0.439448,-0.019619,0.898054,-30.722189,-32.885532,-29.911819,-26.899075,-5.417253,86.483688,-362.882721,44.063038,5.226500,5.226500,5.344496,5.344496,0.000000,0.003343,0.136465,1.000000,1.000000,-0.002376,-0.147976,0.000000,2135.734863,1.000000,1.000000,0.000000,0.000000,-101.160370,-101.160370,-101.094635,-101.094635,0.000000,153.519684,-1.466088,-1.466088,-1.041300,-1.041300,
16.512865,0.000000,-16.881149,0.000000,-1498.159668,552.406616,1670.713989,19.866537,2.471449,-0.143893,4.932026,-0.897727,0.031559,0.439420,0.438891,-0.022466,0.898259,-22.119616,-24.273842,-26.962582,-27.862926,63.562454,76.259613,154.354309,-7.206290,5.246865,5.246865,5.351356,5.351355,0.000000,-0.002259,0.108660,1.000000,1.000000,0.017467,-0.130890,0.000000,2107.497559,1.000000,1.000000,0.000000,0.000000,-99.276337,-99.276337,-99.196136,-99.196136,0.000000,153.384445,-0.977823,-0.977823,-0.601658,-0.601659,
16.607374,0.000000,-16.364906,0.000000,-1497.915405,552.391785,1670.226196,19.490299,2.421346,-0.124761,4.840724,-0.897821,0.030903,0.439275,0.438674,-0.024450,0.898313,-18.798880,-20.715361,-23.885210,-24.545145,151.986832,148.872482,158.892883,205.194580,5.204780,5.204780,5.286129,5.286129,0.000000,-0.003839,0.088100,1.000000,1.000000,-0.018933,-0.116021,0.000000,2090.656738,1.000000,1.000000,0.000000,0.000000,-97.206879,-97.206879,-97.114655,-97.114655,0.000000,153.425613,-0.753092,-0.753092,-0.460238,-0.460234,
16.702549,0.000000,-15.853897,0.000000,-1497.675537,552.379272,1669.746826,19.175156,2.380009,-0.103169,4.764010,-0.897831,0.027199,0.439501,0.438871,-0.026235,0.898167,-14.257043,-17.761314,-27.150526,-25.947744,92.677101,167.504990,-91.408630,-76.568878,5.150086,5.150086,5.204034,5.204034,0.000000,-0.008445,0.070547,1.000000,1.000000,-0.012755,-0.093408,0.000000,2082.788086,1.000000,1.000000,0.000000,0.000000,-95.299713,-95.299713,-95.200592,-95.200592,0.000000,153.454163,-0.634845,-0.634845,-0.440632,-0.440632,
16.798702,0.000000,-15.345245,0.000000,-1497.478516,552.369690,1669.352661,18.957092,2.357228,-0.097809,4.707779,-0.897730,0.025760,0.439793,0.439204,-0.025567,0.898024,-17.688404,-17.462183,-24.161478,-25.142979,21.444424,93.479401,166.919083,-60.959808,5.122005,5.122005,5.174774,5.174774,0.000000,-0.010788,0.055655,1.000000,1.000000,0.004841,-0.076231,0.000000,2079.536133,1.000000,1.000000,0.000000,0.000000,-93.820831,-93.820831,-93.717926,-93.717926,0.000000,153.402451,-0.517877,-0.517877,-0.327906,-0.327906,
16.893614,0.000000,-14.848701,0.000000,-1497.243652,552.360718,1668.885010,18.759817,2.340234,-0.105676,4.654813,-0.897430,0.027230,0.440315,0.439788,-0.023336,0.897798,-21.147442,-19.150688,-25.193190,-23.608341,-265.330597,-132.420898,-147.833954,153.938599,5.075369,5.075369,5.130887,5.130887,0.000000,-0.009309,0.044305,1.000000,1.000000,-0.005437,-0.047978,0.000000,2077.563477,1.000000,1.000000,0.000000,0.000000,-92.163605,-92.163605,-92.058441,-92.058441,0.000000,153.308777,-0.488490,-0.488490,-0.288626,-0.288626,
16.989277,0.000000,-14.352859,0.000000,-1497.010498,552.349915,1668.421875,18.602791,2.324392,-0.121062,4.613567,-0.897191,0.026038,0.440874,0.440371,-0.022926,0.897523,-22.739876,-19.000454,-23.027258,-22.776314,-201.549408,-45.402504,7.541364,58.483852,5.045523,5.045523,5.087016,5.087016,0.000000,-0.013939,0.035568,1.000000,1.000000,0.006785,-0.040556,0.000000,2076.635742,1.000000,1.000000,0.000000,0.000000,-90.595490,-90.595490,-90.489594,-90.489594,0.000000,153.260269,-0.438907,-0.438907,-0.289533,-0.289533,
17.085506,0.000000,-13.857872,0.000000,-1496.778198,552.337402,1667.962891,18.475386,2.319509,-0.140052,4.575830,-0.896716,0.029556,0.441619,0.441092,-0.022828,0.897172,-20.723520,-20.651453,-22.862423,-24.833796,-214.780411,-44.180393,194.285889,103.286293,5.035264,5.035264,5.070267,5.070267,0.000000,-0.011242,0.028518,1.000000,1.000000,-0.010823,-0.037346,0.000000,2076.198730,1.000000,1.000000,0.000000,0.000000,-89.102020,-89.102020,-88.995636,-88.995636,0.000000,153.119339,-0.348438,-0.348438,-0.222425,-0.222425,
17.183201,0.000000,-13.358932,0.000000,-1496.547485,552.326538,1667.506836,18.363207,2.302498,-0.109627,4.550338,-0.896264,0.028073,0.442633,0.442111,-0.023010,0.896666,-17.841640,-19.854666,-22.830536,-25.458485,183.109634,105.252098,195.574280,-25.865360,5.019858,5.019858,5.039671,5.039671,0.000000,-0.009419,0.022031,1.000000,1.000000,-0.003084,-0.040918,0.000000,2075.991211,1.000000,1.000000,0.000000,0.000000,-87.673370,-87.673370,-87.567474,-87.567474,0.000000,153.160324,-0.291720,-0.291720,-0.220391,-0.220391,
17.279768,0.000000,-12.867622,0.000000,-1496.355835,552.317993,1667.128296,18.323374,2.296262,-0.103305,4.541237,-0.895978,0.027563,0.443242,0.442749,-0.022295,0.896369,-18.178280,-21.322645,-24.717846,-21.211121,40.840107,-152.246643,-100.151825,200.055939,5.050008,5.050008,5.050726,5.050726,0.000000,-0.014896,0.000000,1.000000,1.000000,-0.000592,-0.007959,0.000000,2075.905762,1.000000,1.000000,0.000000,0.000000,-86.618622,-86.618622,-86.513824,-86.513824,0.000000,153.176697,-0.143346,-0.143346,-0.140761,-0.140761,
17.374531,0.000000,-12.386375,0.000000,-1496.125977,552.306519,1666.674561,18.304483,2.300600,-0.116810,4.532829,-0.895623,0.028254,0.443916,0.443319,-0.025080,0.896013,-21.274883,-19.764408,-21.097864,-25.191620,35.334576,42.754478,160.853531,21.727142,5.034585,5.034585,5.034575,5.034575,0.000000,-0.016247,0.000000,1.000000,1.000000,0.018039,-0.010100,0.000000,2075.854492,1.000000,1.000000,0.000000,0.000000,-85.395294,-85.395294,-85.291595,-85.291595,0.000000,153.090302,-0.179977,-0.179978,-0.180013,-0.180013,
17.469040,0.000000,-11.906891,0.000000,-1495.896240,552.296265,1666.222046,18.216232,2.293888,-0.081668,4.509508,-0.895276,0.026723,0.444710,0.444129,-0.025070,0.895612,-15.820013,-21.190979,-22.627806,-20.867386,30.819635,-259.301941,97.487358,-42.379158,4.925434,4.925434,4.975303,4.975303,0.000000,-0.013690,0.044105,1.000000,1.000000,0.022077,-0.042529,0.000000,2075.830078,1.000000,1.000000,0.000000,0.000000,-84.027008,-84.027008,-83.923126,-83.923126,0.000000,153.038559,-0.484672,-0.484672,-0.305144,-0.305142,
17.565048,0.000000,-11.424698,0.000000,-1495.706421,552.287109,1665.848511,18.013445,2.265056,-0.099634,4.460600,-0.894867,0.024513,0.445660,0.445094,-0.025368,0.895125,-16.460464,-20.916542,-27.558531,-19.809048,-93.740318,117.271591,-144.053116,-51.902386,4.802413,4.802413,4.873542,4.873542,0.000000,-0.007738,0.081413,1.000000,1.000000,-0.014207,-0.086100,0.000000,2075.817871,1.000000,1.000000,0.000000,0.000000,-82.654144,-82.654144,-82.546112,-82.546112,0.000000,153.078918,-0.724759,-0.724759,-0.468692,-0.468692,
17.660433,0.000000,-10.953880,0.000000,-1495.482422,552.277283,1665.407715,17.642170,2.220260,-0.116378,4.367243,-0.894273,0.024633,0.446844,0.446266,-0.025674,0.894532,-19.973137,-19.736002,-29.251791,-19.044247,-101.412590,14.063985,-85.374168,-43.675419,4.626742,4.626742,4.732477,4.732477,0.000000,-0.009753,0.110291,1.000000,1.000000,0.023700,-0.116277,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-80.805450,-80.805450,-80.684662,-80.684662,0.000000,153.051697,-0.985899,-0.985899,-0.605254,-0.605254,
17.753931,0.000000,-10.502594,0.000000,-1495.262573,552.266113,1664.978149,17.180382,2.173135,-0.127816,4.246912,-0.893707,0.024969,0.447956,0.447391,-0.025192,0.893984,-18.278370,-21.456907,-28.632647,-21.855684,-194.635452,-72.056953,-159.261047,-100.368347,4.433819,4.433819,4.563363,4.563363,0.000000,-0.004642,0.132456,1.000000,1.000000,-0.006066,-0.130354,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-78.834747,-78.834747,-78.694794,-78.694794,0.000000,152.901276,-1.218633,-1.218633,-0.752275,-0.752275,
17.849804,0.000000,-10.052055,0.000000,-1495.049072,552.254883,1664.561157,16.643772,2.110067,-0.100713,4.112432,-0.893184,0.026866,0.448888,0.448300,-0.025281,0.893526,-17.866648,-17.859076,-26.047125,-22.006838,-130.385178,-128.861115,7.413408,34.035763,4.280066,4.280066,4.432561,4.432561,0.000000,-0.005352,0.150149,1.000000,1.000000,0.008950,-0.151976,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-76.788239,-76.788239,-76.623383,-76.623383,0.000000,152.837875,-1.235534,-1.235534,-0.686551,-0.686551,
17.946640,0.000000,-9.611702,0.000000,-1494.875977,552.247498,1664.224609,16.148256,2.050806,-0.102341,3.988053,-0.892779,0.026378,0.449722,0.449086,-0.026781,0.893087,-15.702478,-18.287327,-28.376633,-25.844395,-148.678391,18.064096,-113.271332,-156.580414,4.132657,4.132657,4.265626,4.265626,0.000000,0.001159,0.163841,1.000000,1.000000,-0.015411,-0.173284,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-75.044891,-75.044891,-74.855865,-74.855865,0.000000,152.786072,-1.270691,-1.270691,-0.792003,-0.792003,
18.040503,0.000000,-9.200333,0.000000,-1494.675903,552.237061,1663.834961,15.509134,1.967666,-0.109825,3.830913,-0.892348,0.024942,0.450659,0.450104,-0.024934,0.892628,-18.166082,-15.841583,-28.005836,-27.532539,-83.229446,-62.253696,-61.856377,-11.131308,3.969597,3.969597,4.117961,4.117961,0.000000,-0.002647,0.172470,1.000000,1.000000,0.012588,-0.187247,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-72.951263,-72.951263,-72.728912,-72.728912,0.000000,152.813660,-1.218585,-1.218585,-0.684476,-0.684474,
18.128855,0.000000,-8.880043,0.000000,-1494.514893,552.228943,1663.522949,14.949960,1.905238,-0.085675,3.688929,-0.891953,0.026143,0.451372,0.450778,-0.025700,0.892266,-17.579853,-17.512356,-23.154837,-24.298857,32.435081,-47.973091,-126.336143,16.854288,3.809472,3.809471,3.950007,3.950007,0.000000,0.000614,0.176756,1.000000,1.000000,-0.002369,-0.184526,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-71.228607,-71.228607,-70.975128,-70.975128,0.000000,152.684784,-1.235862,-1.235864,-0.729935,-0.729936,
18.223486,0.000000,-8.444344,0.000000,-1494.329346,552.222900,1663.163818,14.278077,1.815897,-0.048526,3.525673,-0.891829,0.024057,0.451733,0.451168,-0.025525,0.892074,-14.263897,-15.361317,-22.744995,-29.378016,-145.267471,-26.894630,20.752150,-59.434803,3.646361,3.646362,3.794940,3.794940,0.000000,0.003568,0.180800,1.000000,1.000000,-0.029638,-0.188255,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-69.196442,-69.196442,-68.910065,-68.910065,0.000000,152.749283,-1.151178,-1.151176,-0.616293,-0.616293,
18.323605,0.000000,-8.056221,0.000000,-1494.153076,552.216370,1662.820679,13.614297,1.734408,-0.086045,3.359472,-0.891915,0.024217,0.451555,0.450987,-0.025578,0.892164,-18.446770,-16.982470,-24.653267,-29.043318,9.776956,-61.683117,-38.139252,-8.906574,3.466905,3.466904,3.610419,3.610419,0.000000,-0.007404,0.182874,1.000000,1.000000,0.014864,-0.190035,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-67.222382,-67.222382,-66.899200,-66.899200,0.000000,152.693878,-1.133441,-1.133441,-0.616790,-0.616790,
18.422951,0.000000,-7.689690,0.000000,-1493.984619,552.208984,1662.494385,12.943917,1.648270,-0.068949,3.194731,-0.891824,0.022126,0.451842,0.451330,-0.024599,0.892018,-14.702234,-18.048180,-27.558445,-24.686262,-26.368666,-26.522041,-75.670174,-21.515293,3.303885,3.303885,3.439577,3.439577,0.000000,-0.000291,0.182743,1.000000,1.000000,-0.006777,-0.187784,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-65.304657,-65.304657,-64.947235,-64.947235,0.000000,152.709259,-1.049932,-1.049932,-0.561440,-0.561441,
18.523413,0.000000,-7.337639,0.000000,-1493.824341,552.200439,1662.184570,12.291253,1.575898,-0.074725,3.027866,-0.891625,0.024616,0.452105,0.451570,-0.024451,0.891900,-18.163008,-16.579529,-25.313751,-24.250284,-56.094528,9.728445,98.475792,-105.039955,3.130628,3.130628,3.270714,3.270714,0.000000,-0.001827,0.181456,1.000000,1.000000,0.022399,-0.181030,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-63.458405,-63.458405,-63.066254,-63.066254,0.000000,152.504593,-1.020992,-1.020994,-0.516684,-0.516684,
18.624001,0.000000,-7.003296,0.000000,-1493.671265,552.191711,1661.891235,11.634855,1.496435,-0.088605,2.863221,-0.891544,0.025727,0.452203,0.451581,-0.026635,0.891833,-15.033666,-16.698467,-28.614971,-26.370546,25.975586,-14.647343,-0.131567,-27.513464,2.982970,2.982970,3.105372,3.105372,0.000000,0.001072,0.178817,1.000000,1.000000,0.007605,-0.190792,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-61.685455,-61.685455,-61.263092,-61.263092,0.000000,152.406616,-0.896164,-0.896164,-0.455515,-0.455515,
18.712238,0.000000,-6.763237,0.000000,-1493.550415,552.188782,1661.659180,11.089303,1.419597,-0.009931,2.733729,-0.891633,0.024031,0.452121,0.451567,-0.025224,0.891881,-12.870267,-13.340287,-25.854509,-25.118164,-107.759964,-22.445242,-105.684929,-76.316322,2.853590,2.853590,2.970308,2.970309,0.000000,0.008223,0.174873,1.000000,1.000000,-0.012116,-0.178492,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-60.261932,-60.261932,-59.817413,-59.817413,0.000000,152.557617,-0.816380,-0.816380,-0.396194,-0.396193,
18.810307,0.000000,-6.431725,0.000000,-1493.412109,552.184509,1661.395142,10.500282,1.362671,-0.054048,2.578296,-0.891592,0.030061,0.451841,0.451321,-0.022668,0.892074,-17.288725,-16.940149,-25.735088,-27.017653,25.319866,-40.181183,-15.198618,-96.668617,2.747539,2.747539,2.839948,2.839948,0.000000,-0.010887,0.135925,1.000000,1.000000,0.027203,-0.143585,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-58.675629,-58.675629,-58.207123,-58.207123,0.000000,152.142822,-0.609144,-0.609144,-0.276468,-0.276468,
18.908985,0.000000,-6.150108,0.000000,-1493.279541,552.177979,1661.143066,10.117209,1.299424,-0.070082,2.490898,-0.891495,0.027880,0.452173,0.451728,-0.020962,0.891909,-17.426088,-20.535013,-23.623280,-23.664692,-63.251549,-38.388290,-13.861667,42.611996,2.691851,2.691851,2.758309,2.758309,0.000000,-0.009592,0.083869,1.000000,1.000000,-0.032200,-0.076243,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-57.344635,-57.344635,-56.868439,-56.868439,0.000000,152.450348,-0.426546,-0.426546,-0.187298,-0.187297,
19.009062,0.000000,-5.873459,0.000000,-1493.152466,552.172607,1660.897583,9.835331,1.250307,-0.042484,2.428775,-0.891375,0.024752,0.452590,0.452086,-0.023458,0.891666,-15.882475,-18.776325,-19.518217,-22.064747,-41.626339,-44.675091,-47.743347,-38.577534,2.592974,2.592974,2.662180,2.662180,0.000000,-0.008534,0.094739,1.000000,1.000000,-0.027224,-0.084422,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-56.110077,-56.110077,-55.630524,-55.630524,0.000000,152.761078,-0.500624,-0.500625,-0.251482,-0.251482,
19.108730,0.000000,-5.606026,0.000000,-1493.030518,552.164307,1660.659058,9.500401,1.204586,-0.094312,2.346146,-0.891275,0.023438,0.452857,0.452285,-0.026005,0.891494,-16.692207,-19.217089,-26.288530,-21.654251,2.409178,-24.194353,-5.240907,-31.578295,2.491904,2.491904,2.569638,2.569638,0.000000,-0.008152,0.111961,1.000000,1.000000,0.014385,-0.102300,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-54.834320,-54.834320,-54.348053,-54.348053,0.000000,152.822586,-0.529548,-0.529548,-0.249704,-0.249704,
19.209234,0.000000,-5.346306,0.000000,-1492.912231,552.155762,1660.429810,9.142052,1.162084,-0.064022,2.257058,-0.891202,0.022576,0.453045,0.452459,-0.026790,0.891383,-14.914482,-16.361952,-23.812527,-21.231194,-49.709919,21.767065,57.207695,-27.878916,2.417679,2.417679,2.489259,2.489259,0.000000,-0.007729,0.106487,1.000000,1.000000,0.000291,-0.096804,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-53.562775,-53.562775,-53.069122,-53.069122,0.000000,152.757553,-0.438409,-0.438409,-0.180720,-0.180721,
19.309498,0.000000,-5.096466,0.000000,-1492.798584,552.150635,1660.208740,8.810583,1.116212,-0.047695,2.177495,-0.891263,0.019095,0.453084,0.452535,-0.027226,0.891331,-15.322656,-16.705717,-22.253433,-21.857351,-35.843212,-19.132494,-43.122223,-7.886217,2.340274,2.340274,2.403302,2.403302,0.000000,-0.007434,0.094489,1.000000,1.000000,-0.007011,-0.095159,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-52.360382,-52.360382,-51.862030,-51.862030,0.000000,152.859741,-0.385597,-0.385597,-0.158698,-0.158698,
19.409725,0.000000,-4.855698,0.000000,-1492.688965,552.144653,1659.995483,8.511456,1.083305,-0.061041,2.100621,-0.891265,0.018110,0.453122,0.452578,-0.027588,0.891298,-16.558865,-17.274200,-24.570511,-20.635406,10.905868,8.383527,-82.448959,19.846006,2.273057,2.273057,2.325920,2.325920,0.000000,-0.007326,0.082367,1.000000,1.000000,0.008883,-0.081447,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-51.228119,-51.228119,-50.727570,-50.727570,0.000000,152.719528,-0.328450,-0.328450,-0.138144,-0.138144,
19.511425,0.000000,-4.618935,0.000000,-1492.581299,552.139587,1659.789673,8.281042,1.076419,-0.052711,2.032209,-0.891131,0.023592,0.453132,0.452560,-0.025932,0.891357,-15.526798,-18.450577,-24.895723,-20.065311,-23.531158,-68.822372,-5.272938,-78.648804,2.245884,2.245884,2.280211,2.280211,0.000000,-0.006899,0.050726,1.000000,1.000000,0.016100,-0.050142,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-50.182281,-50.182281,-49.682709,-49.682709,0.000000,152.090759,-0.195859,-0.195860,-0.072284,-0.072284,
19.608797,0.000000,-4.396660,0.000000,-1492.475098,552.134094,1659.588135,8.156217,1.051310,-0.056416,2.006135,-0.891161,0.024315,0.453035,0.452501,-0.024528,0.891427,-18.114489,-18.935280,-20.983568,-19.515890,-71.723518,17.649328,16.470123,-32.973545,2.232700,2.232700,2.247458,2.247458,0.000000,-0.006008,0.020795,1.000000,1.000000,-0.004948,-0.026244,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-49.266937,-49.266937,-48.771881,-48.771881,0.000000,152.343338,-0.118496,-0.118496,-0.065368,-0.065368,
19.708740,0.000000,-4.170708,0.000000,-1492.369873,552.131042,1659.388428,8.089271,1.046984,-0.005880,1.988187,-0.891255,0.026742,0.452714,0.452125,-0.025373,0.891594,-17.440332,-16.545654,-15.627796,-19.365173,-2.559755,-64.745590,-16.275270,-17.663105,2.204105,2.204105,2.220644,2.220644,0.000000,-0.005652,0.023300,1.000000,1.000000,-0.006940,-0.031114,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-48.435883,-48.435883,-47.946136,-47.946136,0.000000,152.228592,-0.154494,-0.154494,-0.094954,-0.094953,
19.808073,0.000000,-3.949150,0.000000,-1492.266846,552.130005,1659.191284,7.951133,1.019643,-0.017915,1.959116,-0.891375,0.026462,0.452494,0.451875,-0.026325,0.891693,-15.601221,-17.998575,-23.469246,-20.326990,1.943881,2.585391,-108.017578,-21.440861,2.164648,2.164648,2.187435,2.187435,0.000000,-0.005242,0.035759,1.000000,1.000000,-0.004220,-0.043588,0.000000,2075.815430,1.000000,1.000000,0.000000,0.000000,-47.542877,-47.542877,-47.057465,-47.057465,0.000000,152.504776,-0.158401,-0.158401,-0.076366,-0.076366,
