Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
20.592421,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.005404,0.000203,0.000785,-0.001263,-0.030928,0.004244,-0.999513,-0.996456,0.078125,0.031165,51.055214,51.151741,51.945526,51.737190,-26.239695,-25.500744,-27.026459,-24.849115,0.000000,0.000000,0.000000,0.000000,0.647456,-0.010186,0.000000,0.889162,1.000000,-0.002574,0.000030,0.000000,7920.103516,1.000000,1.000000,0.000000,0.000000,-42.560089,-42.560089,-42.560089,-42.560089,0.000000,9.134453,-0.005404,-0.005404,-0.005404,-0.005404,
20.690531,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.004301,0.000212,0.000720,-0.000930,-0.030933,0.004233,-0.999513,-0.996456,0.078131,0.031169,51.073025,51.152042,51.939713,51.718281,-25.163523,-25.300390,-26.102888,-26.059147,0.000000,0.000000,0.000000,0.000000,0.657221,-0.010186,0.000000,0.889162,1.000000,-0.000499,-0.000041,0.000000,7895.025391,1.000000,1.000000,0.000000,0.000000,-41.842194,-41.842194,-41.842194,-41.842194,0.000000,12.828661,-0.004301,-0.004301,-0.004301,-0.004301,
20.797253,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.004411,0.000218,0.000776,-0.000922,-0.030933,0.004232,-0.999513,-0.996456,0.078128,0.031169,51.069847,51.152138,51.944427,51.721897,-24.244741,-25.279158,-27.225798,-27.081089,0.000000,0.000000,0.000000,0.000000,0.665034,-0.009499,0.000000,0.889162,1.000000,0.000358,0.000121,0.000000,7882.515625,1.000000,1.000000,0.000000,0.000000,-41.132660,-41.132660,-41.132660,-41.132660,0.000000,13.322207,-0.004411,-0.004411,-0.004411,-0.004411,
20.894085,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.003649,0.000105,0.000582,-0.000823,-0.030931,0.004237,-0.999513,-0.996456,0.078130,0.031168,51.071159,51.150532,51.938278,51.722443,-24.264877,-25.197567,-26.031412,-27.058926,0.000000,0.000000,0.000000,0.000000,0.667964,-0.008472,0.000000,0.889162,1.000000,0.000959,-0.000311,0.000000,7887.339844,1.000000,1.000000,0.000000,0.000000,-40.431122,-40.431122,-40.431122,-40.431122,0.000000,7.266843,-0.003649,-0.003649,-0.003649,-0.003649,
20.990936,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.003406,0.000215,0.000765,-0.000513,-0.030927,0.004231,-0.999513,-0.996456,0.078126,0.031163,51.071018,51.152275,51.958988,51.722401,-24.396156,-25.091154,-24.715483,-26.992849,0.000000,0.000000,0.000000,0.000000,0.667964,-0.008481,0.000000,0.889162,1.000000,0.002439,-0.000018,0.000000,7886.636719,1.000000,1.000000,0.000000,0.000000,-39.737762,-39.737762,-39.737762,-39.737762,0.000000,22.741144,-0.003406,-0.003406,-0.003406,-0.003406,
21.098818,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.003787,0.000057,0.000857,-0.000608,-0.030925,0.004238,-0.999513,-0.996457,0.078123,0.031162,51.069885,51.151928,51.963310,51.722992,-24.371647,-25.076050,-24.931137,-27.030127,0.000000,0.000000,0.000000,0.000000,0.667964,-0.008607,0.000000,0.889162,1.000000,0.003551,0.000842,0.000000,7889.048828,1.000000,1.000000,0.000000,0.000000,-39.052277,-39.052277,-39.052277,-39.052277,0.000000,5.324914,-0.003787,-0.003787,-0.003787,-0.003787,
21.198364,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.004372,0.000165,0.000730,-0.000957,-0.030928,0.004239,-0.999513,-0.996457,0.078124,0.031165,51.055046,51.153019,51.944950,51.738461,-26.261557,-25.473545,-27.043287,-24.829451,0.000000,0.000000,0.000000,0.000000,0.669917,-0.008710,0.000000,0.889162,1.000000,-0.002250,-0.000071,0.000000,7890.474609,1.000000,1.000000,0.000000,0.000000,-38.374786,-38.374786,-38.374786,-38.374786,0.000000,9.757703,-0.004372,-0.004372,-0.004372,-0.004372,
21.296318,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.005888,0.000187,0.000864,-0.001376,-0.030927,0.004237,-0.999513,-0.996456,0.078125,0.031163,51.057377,51.152191,51.947189,51.738594,-26.345192,-25.505840,-27.130939,-24.900593,0.000000,0.000000,0.000000,0.000000,0.674800,-0.008869,0.000000,0.889162,1.000000,-0.002420,0.000005,0.000000,7887.720703,1.000000,1.000000,0.000000,0.000000,-37.705109,-37.705109,-37.705109,-37.705109,0.000000,7.755836,-0.005888,-0.005888,-0.005888,-0.005888,
21.393740,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.004682,0.000195,0.000774,-0.001027,-0.030931,0.004241,-0.999513,-0.996456,0.078126,0.031168,51.054855,51.152184,51.944881,51.737938,-26.294336,-25.438591,-27.072346,-24.791931,0.000000,0.000000,0.000000,0.000000,0.682612,-0.009081,0.000000,0.889162,1.000000,-0.001034,-0.000019,0.000000,7887.115234,1.000000,1.000000,0.000000,0.000000,-37.043060,-37.043060,-37.043060,-37.043060,0.000000,10.747658,-0.004682,-0.004682,-0.004682,-0.004682,
21.498936,0.000000,-1.835484,0.000000,-359.397217,695.394165,-513.029785,0.004847,0.000242,0.000879,-0.000990,-0.030927,0.004230,-0.999513,-0.996456,0.078129,0.031163,51.071232,51.151390,51.959606,51.720737,-24.417164,-25.114021,-24.731943,-26.957676,0.000000,0.000000,0.000000,0.000000,0.683589,-0.009057,0.000000,0.889162,1.000000,0.002201,-0.000066,0.000000,7887.955078,1.000000,1.000000,0.000000,0.000000,-36.388336,-36.388336,-36.388336,-36.388336,0.000000,13.749341,-0.004847,-0.004847,-0.004847,-0.004847,
