Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
12.320428,0.000000,-1.151611,0.000000,1029.070190,537.290833,2404.759766,0.011042,0.001586,0.000103,0.002624,-0.990507,0.000886,-0.137461,-0.137459,-0.014942,0.990395,11.694689,11.729439,11.406489,11.327937,-26.140102,-26.174435,-26.569979,-26.795128,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.900234,1.000000,-0.000068,-0.000225,0.000000,7411.207031,1.000000,1.000000,0.000000,0.000000,-42.439850,-42.439850,-42.439850,-42.439850,0.000000,148.853241,-0.011042,-0.011042,-0.011042,-0.011042,
12.426086,0.000000,-1.151611,0.000000,1029.070190,537.290833,2404.759766,0.011716,0.001568,-0.000876,0.002714,-0.990507,0.000888,-0.137459,-0.137457,-0.014941,0.990395,11.697962,11.733632,11.411568,11.331523,-26.030825,-26.099520,-26.503086,-26.663961,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.900234,1.000000,-0.000011,0.000629,0.000000,7442.359375,1.000000,1.000000,0.000000,0.000000,-41.723358,-41.723358,-41.723358,-41.723358,0.000000,149.976227,-0.011716,-0.011716,-0.011716,-0.011716,
12.523097,0.000000,-1.151611,0.000000,1029.070190,537.290833,2404.759766,0.012057,0.001419,-0.001415,0.002683,-0.990506,0.000868,-0.137466,-0.137464,-0.014949,0.990394,11.704354,11.737354,11.415830,11.339836,-26.128372,-26.013802,-26.610573,-26.855598,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009742,0.000000,0.900234,1.000000,0.000249,-0.000320,0.000000,7316.587891,1.000000,1.000000,0.000000,0.000000,-41.015167,-41.015167,-41.015167,-41.015167,0.000000,152.128754,-0.012057,-0.012057,-0.012057,-0.012057,
12.627283,0.000000,-1.151611,0.000000,1029.070190,537.290771,2404.759766,0.011376,0.001538,-0.000994,0.002575,-0.990506,0.000878,-0.137465,-0.137462,-0.014951,0.990394,11.725874,11.762069,11.440786,11.382430,-24.568335,-24.851067,-25.024967,-23.696255,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010468,0.000000,0.900234,1.000000,-0.000004,-0.000278,0.000000,7328.990234,1.000000,1.000000,0.000000,0.000000,-40.315033,-40.315033,-40.315033,-40.315033,0.000000,149.159943,-0.011376,-0.011376,-0.011376,-0.011376,
12.721815,0.000000,-1.151611,0.000000,1029.070190,537.290771,2404.759766,0.011050,0.001583,0.000253,0.002618,-0.990507,0.000879,-0.137463,-0.137460,-0.014947,0.990395,11.735146,11.770824,11.450299,11.370367,-26.153843,-26.224102,-26.630457,-26.801605,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010677,0.000000,0.900234,1.000000,-0.000029,-0.000227,0.000000,7322.759766,1.000000,1.000000,0.000000,0.000000,-39.622955,-39.622955,-39.622955,-39.622955,0.000000,148.844269,-0.011050,-0.011050,-0.011050,-0.011050,
12.819507,0.000000,-1.151611,0.000000,1029.070190,537.290771,2404.759766,0.011718,0.000873,0.001079,0.002944,-0.990506,0.000893,-0.137466,-0.137464,-0.014944,0.990394,11.737094,11.758748,11.445316,11.391392,-26.986885,-25.395962,-26.343500,-25.645832,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010248,0.000000,0.900234,1.000000,-0.004662,0.002142,0.000000,7407.896484,1.000000,1.000000,0.000000,0.000000,-38.938751,-38.938751,-38.938751,-38.938751,0.000000,163.478378,-0.011718,-0.011718,-0.011718,-0.011718,
12.921364,0.000000,-1.151611,0.000000,1029.070190,537.290771,2404.759766,0.012362,0.001479,0.001406,0.002762,-0.990506,0.000871,-0.137468,-0.137465,-0.014947,0.990394,11.726460,11.762371,11.441045,11.362556,-26.155624,-26.183197,-26.598394,-26.775532,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010157,0.000000,0.900234,1.000000,0.000059,0.000611,0.000000,7314.146484,1.000000,1.000000,0.000000,0.000000,-38.262665,-38.262665,-38.262665,-38.262665,0.000000,151.837753,-0.012362,-0.012362,-0.012362,-0.012362,
13.025409,0.000000,-1.151611,0.000000,1029.070190,537.290771,2404.759766,0.013024,0.001552,0.001741,0.002766,-0.990506,0.000879,-0.137466,-0.137463,-0.014949,0.990394,11.723452,11.760124,11.439308,11.358845,-26.112074,-26.208612,-26.594961,-26.732660,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010301,0.000000,0.900234,1.000000,-0.000011,0.000624,0.000000,7318.873047,1.000000,1.000000,0.000000,0.000000,-37.594208,-37.594208,-37.594208,-37.594208,0.000000,150.707062,-0.013024,-0.013024,-0.013024,-0.013024,
13.120831,0.000000,-1.151611,0.000000,1029.070190,537.290833,2404.759766,0.011148,0.001572,0.000565,0.002607,-0.990507,0.000890,-0.137463,-0.137461,-0.014943,0.990395,11.693791,11.729556,11.407196,11.347672,-26.054928,-26.347160,-26.647299,-25.291494,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010403,0.000000,0.900234,1.000000,0.000002,-0.000228,0.000000,7318.951172,1.000000,1.000000,0.000000,0.000000,-36.933380,-36.933380,-36.933380,-36.933380,0.000000,148.910980,-0.011148,-0.011148,-0.011148,-0.011148,
13.223966,0.000000,-1.151611,0.000000,1029.070190,537.290833,2404.759766,0.011561,0.001662,-0.000582,0.002686,-0.990507,0.000874,-0.137462,-0.137459,-0.014942,0.990395,11.716129,11.712132,11.409030,11.337844,-24.772715,-27.333488,-26.778532,-27.647505,0.000000,0.000000,0.000000,0.000000,1.000000,-0.010277,0.000000,0.900234,1.000000,0.000668,-0.000241,0.000000,7317.300781,1.000000,1.000000,0.000000,0.000000,-36.279999,-36.279999,-36.279999,-36.279999,0.000000,148.256866,-0.011561,-0.011561,-0.011561,-0.011561,
