Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
21.329514,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008730,-0.001420,-0.001455,-0.001322,-0.990506,0.000860,-0.137472,-0.137469,-0.014856,0.990395,21.746344,21.708422,21.501619,21.508253,-27.567837,-26.525887,-27.668118,-27.846811,0.000000,0.000000,0.000000,0.000000,0.849607,-0.010015,0.000000,0.910912,1.000000,-0.001252,-0.000076,0.000000,7961.329102,1.000000,1.000000,0.000000,0.000000,-42.560089,-42.560089,-42.560089,-42.560089,0.000000,312.949097,-0.008730,-0.008730,-0.008730,-0.008730,
21.423811,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008791,-0.001476,-0.001404,-0.001347,-0.990505,0.000858,-0.137474,-0.137472,-0.014856,0.990394,21.747391,21.709438,21.501629,21.508654,-27.637005,-26.562275,-27.690914,-27.849508,0.000000,0.000000,0.000000,0.000000,0.836912,-0.009689,0.000000,0.910912,1.000000,-0.001146,-0.000063,0.000000,7829.385742,1.000000,1.000000,0.000000,0.000000,-41.842194,-41.842194,-41.842194,-41.842194,0.000000,312.398193,-0.008791,-0.008791,-0.008791,-0.008791,
21.517824,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.007814,-0.001371,-0.001141,-0.001236,-0.990505,0.000865,-0.137476,-0.137474,-0.014858,0.990394,21.760984,21.732855,21.506227,21.507187,-25.147779,-26.146866,-27.892403,-27.706709,0.000000,0.000000,0.000000,0.000000,0.830076,-0.009541,0.000000,0.910912,1.000000,0.000494,-0.000031,0.000000,7936.583008,1.000000,1.000000,0.000000,0.000000,-41.250397,-41.250397,-41.250397,-41.250397,0.000000,312.039246,-0.007814,-0.007814,-0.007814,-0.007814,
21.612312,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008485,-0.001453,-0.001362,-0.001261,-0.990504,0.000868,-0.137479,-0.137476,-0.014859,0.990394,21.741278,21.727327,21.504745,21.507126,-26.460175,-25.130754,-27.683325,-27.891840,0.000000,0.000000,0.000000,0.000000,0.803708,-0.009455,0.000000,0.910912,1.000000,-0.000338,0.000305,0.000000,7940.713867,1.000000,1.000000,0.000000,0.000000,-40.547455,-40.547455,-40.547455,-40.547455,0.000000,310.965149,-0.008485,-0.008485,-0.008485,-0.008485,
21.704523,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008486,-0.001339,-0.001401,-0.001343,-0.990505,0.000861,-0.137473,-0.137470,-0.014852,0.990395,21.746080,21.730145,21.477880,21.509222,-27.419765,-25.418793,-29.057970,-28.027140,0.000000,0.000000,0.000000,0.000000,0.787106,-0.009411,0.000000,0.910912,1.000000,-0.003475,0.000168,0.000000,7845.899414,1.000000,1.000000,0.000000,0.000000,-39.967987,-39.967987,-39.967987,-39.967987,0.000000,315.083832,-0.008486,-0.008486,-0.008486,-0.008486,
21.806656,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.009048,-0.001499,-0.001549,-0.001292,-0.990505,0.000872,-0.137474,-0.137472,-0.014854,0.990394,21.747627,21.727102,21.481621,21.508532,-27.447252,-25.246725,-29.213350,-27.958431,0.000000,0.000000,0.000000,0.000000,0.783200,-0.009416,0.000000,0.910912,1.000000,-0.001121,-0.000023,0.000000,7820.596680,1.000000,1.000000,0.000000,0.000000,-39.279938,-39.279938,-39.279938,-39.279938,0.000000,310.766754,-0.009048,-0.009048,-0.009048,-0.009048,
21.907303,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.007403,-0.000725,-0.001450,-0.001266,-0.990506,0.000854,-0.137472,-0.137469,-0.014857,0.990395,21.760956,21.714848,21.498405,21.508707,-25.355616,-27.333397,-26.907412,-27.421101,0.000000,0.000000,0.000000,0.000000,0.780270,-0.009416,0.000000,0.910912,1.000000,0.004173,-0.000695,0.000000,7931.124023,1.000000,1.000000,0.000000,0.000000,-38.487091,-38.487091,-38.487091,-38.487091,0.000000,330.195251,-0.007403,-0.007403,-0.007403,-0.007403,
22.000338,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.007556,-0.000682,-0.001527,-0.001268,-0.990504,0.000857,-0.137481,-0.137478,-0.014856,0.990393,21.761871,21.713341,21.498150,21.509182,-25.334110,-27.297657,-26.833176,-27.463263,0.000000,0.000000,0.000000,0.000000,0.780270,-0.009416,0.000000,0.910912,1.000000,0.004197,-0.000675,0.000000,7836.524414,1.000000,1.000000,0.000000,0.000000,-37.927460,-37.927460,-37.927460,-37.927460,0.000000,331.710693,-0.007556,-0.007556,-0.007556,-0.007556,
22.093071,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008730,-0.000980,-0.001792,-0.001307,-0.990505,0.000878,-0.137476,-0.137474,-0.014853,0.990394,21.743658,21.713123,21.499971,21.507744,-26.493025,-27.547234,-26.481504,-27.759575,0.000000,0.000000,0.000000,0.000000,0.780270,-0.009416,0.000000,0.910912,1.000000,0.000531,-0.000048,0.000000,7858.975586,1.000000,1.000000,0.000000,0.000000,-37.262909,-37.262909,-37.262909,-37.262909,0.000000,323.144318,-0.008730,-0.008730,-0.008730,-0.008730,
22.188271,0.000000,-1.151581,0.000000,1029.084473,537.323425,2404.862793,0.008856,-0.001330,-0.001618,-0.001290,-0.990504,0.000867,-0.137480,-0.137478,-0.014857,0.990393,21.748953,21.730570,21.483557,21.509445,-27.397186,-25.420948,-29.195770,-28.061159,0.000000,0.000000,0.000000,0.000000,0.780270,-0.009416,0.000000,0.910912,1.000000,-0.003844,0.000229,0.000000,7929.659180,1.000000,1.000000,0.000000,0.000000,-36.714691,-36.714691,-36.714691,-36.714691,0.000000,314.124725,-0.008856,-0.008856,-0.008856,-0.008856,
