Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
20.877581,0.000000,-2.253510,0.000000,-4771.633301,452.072784,-2074.994629,0.046686,-0.012416,-0.000793,0.003658,0.168819,0.003084,0.985642,0.985078,0.033448,-0.168827,-29.390158,-39.746067,-38.882092,-28.283587,-36.534153,-35.667137,-35.076683,-34.077873,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009673,0.000000,0.889162,1.000000,-0.005751,-0.000785,0.000000,8313.307617,1.000000,1.000000,0.000000,0.000000,-42.200104,-42.200104,-42.200104,-42.200104,0.000000,253.583755,-0.046686,-0.046686,-0.046686,-0.046686,
20.979736,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.046683,-0.012392,-0.000936,0.003705,0.168817,0.003086,0.985643,0.985078,0.033449,-0.168825,-29.392529,-39.748661,-38.879566,-28.285917,-36.504105,-35.711929,-36.015907,-34.091366,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009673,0.000000,0.889162,1.000000,-0.006050,-0.000692,0.000000,8402.145508,1.000000,1.000000,0.000000,0.000000,-41.486481,-41.486481,-41.486481,-41.486481,0.000000,253.355896,-0.046683,-0.046683,-0.046683,-0.046683,
21.083241,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.046539,-0.012377,-0.000571,0.003687,0.168816,0.003087,0.985643,0.985078,0.033447,-0.168825,-29.376390,-39.730343,-38.860622,-28.269232,-36.532646,-35.712521,-36.050980,-34.149593,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009673,0.000000,0.889162,1.000000,-0.006058,-0.000724,0.000000,8371.559570,1.000000,1.000000,0.000000,0.000000,-40.780853,-40.780853,-40.780853,-40.780853,0.000000,253.411957,-0.046539,-0.046539,-0.046539,-0.046539,
21.176746,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.046518,-0.012374,-0.000507,0.003688,0.168815,0.003086,0.985643,0.985079,0.033447,-0.168823,-29.380171,-39.734924,-38.865429,-28.269905,-36.535526,-35.704769,-36.044029,-35.065994,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009673,0.000000,0.889162,1.000000,-0.006109,-0.000632,0.000000,8409.586914,1.000000,1.000000,0.000000,0.000000,-40.083466,-40.083466,-40.083466,-40.083466,0.000000,253.401947,-0.046518,-0.046518,-0.046518,-0.046518,
21.276033,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.045876,-0.012433,-0.000484,0.002753,0.168817,0.003069,0.985643,0.985078,0.033449,-0.168825,-29.373449,-39.739864,-38.858261,-28.270283,-35.507347,-34.868446,-34.958015,-33.937981,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009673,0.000000,0.889162,1.000000,0.006770,0.000726,0.000000,8485.563477,1.000000,1.000000,0.000000,0.000000,-39.394135,-39.394135,-39.394135,-39.394135,0.000000,257.514435,-0.045876,-0.045876,-0.045876,-0.045876,
21.374987,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.045753,-0.012409,-0.000519,0.002696,0.168816,0.003068,0.985643,0.985079,0.033448,-0.168824,-29.377295,-39.741047,-38.862518,-28.273315,-35.390751,-35.000710,-34.897392,-34.054058,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009559,0.000000,0.889162,1.000000,0.005930,0.000714,0.000000,8336.598633,1.000000,1.000000,0.000000,0.000000,-38.712494,-38.712494,-38.712494,-38.712494,0.000000,257.740723,-0.045753,-0.045753,-0.045753,-0.045753,
21.474142,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.045821,-0.012421,-0.000674,0.002694,0.168814,0.003070,0.985643,0.985079,0.033447,-0.168822,-29.378508,-39.744442,-38.867630,-28.292515,-35.499107,-34.956116,-34.810078,-35.009197,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.889162,1.000000,0.006058,0.000704,0.000000,8522.166016,1.000000,1.000000,0.000000,0.000000,-38.038971,-38.038971,-38.038971,-38.038971,0.000000,257.763092,-0.045821,-0.045821,-0.045821,-0.045821,
21.575926,0.000000,-2.253510,0.000000,-4771.633301,452.072754,-2074.994629,0.045798,-0.012412,-0.000762,0.002684,0.168814,0.003070,0.985643,0.985079,0.033446,-0.168821,-29.380943,-39.746670,-38.868912,-28.278740,-35.426147,-35.010620,-34.869736,-34.053478,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.889162,1.000000,0.005769,0.000719,0.000000,8381.257813,1.000000,1.000000,0.000000,0.000000,-37.373077,-37.373077,-37.373077,-37.373077,0.000000,257.798523,-0.045798,-0.045798,-0.045798,-0.045798,
21.675957,0.000000,-2.253510,0.000000,-4771.633301,452.072723,-2074.994629,0.045735,-0.012412,-0.000610,0.002640,0.168812,0.003068,0.985643,0.985079,0.033446,-0.168820,-29.365179,-39.728245,-38.849701,-28.277405,-35.480114,-34.882751,-34.864986,-34.963741,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.889162,1.000000,0.006472,0.000704,0.000000,8483.074219,1.000000,1.000000,0.000000,0.000000,-36.714691,-36.714691,-36.714691,-36.714691,0.000000,257.993469,-0.045735,-0.045735,-0.045735,-0.045735,
21.774065,0.000000,-2.253510,0.000000,-4771.633301,452.072723,-2074.994629,0.045718,-0.012402,-0.000474,0.002689,0.168811,0.003070,0.985644,0.985079,0.033446,-0.168819,-29.367779,-39.731625,-38.853386,-28.265293,-35.459934,-35.025158,-34.884666,-34.068249,0.000000,0.000000,0.000000,0.000000,1.000000,-0.009570,0.000000,0.889162,1.000000,0.005894,0.000725,0.000000,8310.867188,1.000000,1.000000,0.000000,0.000000,-36.063934,-36.063934,-36.063934,-36.063934,0.000000,257.765808,-0.045718,-0.045718,-0.045718,-0.045718,
