Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
10.686916,0.000000,-20.077591,0.000000,-4789.112793,451.025421,-2078.064209,5.916533,1.593871,0.225608,-0.331221,0.168380,0.067761,0.983390,0.978767,0.106810,-0.174948,-55.984455,-60.259525,-13.793651,-15.064560,-191.183884,-174.796875,11.520870,40.130558,5.533233,5.533233,5.533232,5.533233,0.800000,0.042501,0.000000,0.597955,1.000000,0.035368,1.030834,0.000000,4623.885742,1.000000,1.000000,0.000000,0.000000,-113.483551,-113.483551,-113.483551,-113.483551,0.000000,78.260506,14.003106,14.003105,14.003103,14.003105,
10.784441,0.000000,-19.871399,0.000000,-4788.888672,451.051819,-2078.017334,10.060597,2.720703,0.291500,-0.568024,0.166534,0.065703,0.983844,0.978084,0.115453,-0.173270,-70.124420,-75.751038,-11.632989,-12.335956,-163.744827,-181.111404,7.830352,-16.466578,9.343592,9.343593,9.343593,9.343592,0.800000,0.028973,0.000000,0.002566,1.000000,0.038990,1.159383,0.000000,4256.351563,1.000000,1.000000,0.000000,0.000000,-111.951996,-111.951996,-111.951996,-111.951996,0.000000,78.207260,23.576332,23.576336,23.576336,23.576332,
10.887083,0.000000,-19.536530,0.000000,-4788.554199,451.084198,-2077.947998,13.998591,3.792639,0.351752,-0.782672,0.163888,0.063729,0.984418,0.978127,0.119083,-0.170550,-75.527046,-84.249229,-13.398440,-10.876719,61.780460,-103.401894,-115.968369,-70.552162,9.250062,9.250062,9.250062,9.250061,0.733687,0.032157,0.000000,0.000000,1.000000,0.024828,1.091685,0.000000,4213.237793,1.000000,1.000000,0.000000,0.000000,-110.438019,-110.438019,-110.438019,-110.438019,0.000000,78.339783,19.301632,19.301632,19.301632,19.301628,
10.983821,0.000000,-19.114883,0.000000,-4788.116211,451.124115,-2077.858887,17.614889,4.779127,0.427749,-0.958471,0.160483,0.060580,0.985178,0.978904,0.118111,-0.166724,-74.549889,-83.761688,-14.145540,-15.083666,-59.058739,-38.252846,3.391587,-202.528687,8.033559,8.033559,8.033559,8.033558,0.548047,0.020755,0.000000,0.000000,1.000000,-0.005323,0.902199,0.000000,3659.142822,1.000000,1.000000,0.000000,0.000000,-108.941315,-108.941315,-108.941315,-108.941315,0.000000,78.659569,11.305922,11.305922,11.305922,11.305919,
11.080839,0.000000,-18.691406,0.000000,-4787.683105,451.162140,-2077.774902,19.829134,5.390925,0.480179,-1.022955,0.157614,0.060267,0.985660,0.979746,0.115304,-0.163719,-69.232979,-78.906631,-20.863396,-17.083693,78.854080,102.157516,-253.724243,-138.749939,5.850205,5.850205,5.850205,5.850205,0.000000,0.015599,0.083424,0.000000,1.000000,-0.045143,0.265172,0.000000,2664.664307,1.000000,1.000000,0.000000,0.000000,-107.469147,-107.469147,-107.469147,-107.469147,0.000000,79.255577,1.231603,1.231605,1.231605,1.231605,
11.189120,0.000000,-18.012527,0.000000,-4787.064941,451.216492,-2077.660400,18.933176,5.155258,0.443076,-0.941460,0.155099,0.057843,0.986204,0.981709,0.102552,-0.160407,-50.503376,-67.376572,-36.355026,-31.015762,194.352707,-38.507851,-387.612061,-129.096603,4.789135,4.740949,4.765042,4.765042,0.000000,0.007511,0.063142,0.226429,1.000000,-0.010206,-0.335751,0.000000,2162.773682,1.000000,1.000000,0.000000,0.000000,-105.024567,-105.025177,-105.024933,-105.024933,0.000000,79.650620,-1.692289,-1.865762,-1.779025,-1.779025,
11.298841,0.000000,-17.452682,0.000000,-4786.489258,451.263245,-2077.555908,17.558468,4.783963,0.391872,-0.865277,0.152531,0.058611,0.986559,0.983343,0.090840,-0.157431,-37.325527,-50.522411,-44.291767,-39.672470,188.538773,178.873962,137.226349,147.549469,4.596831,4.596831,4.596831,4.596831,0.008865,0.003002,0.000000,0.637990,1.000000,-0.028886,-0.335635,0.000000,2037.663818,1.000000,1.000000,0.000000,0.000000,-103.222076,-103.222809,-103.222443,-103.222443,0.000000,79.747726,-1.009875,-1.009875,-1.009875,-1.009875,
11.399917,0.000000,-16.968689,0.000000,-4786.023926,451.300995,-2077.472656,16.710234,4.556054,0.370999,-0.806480,0.151605,0.056261,0.986839,0.983994,0.086013,-0.156071,-28.241354,-45.240147,-46.472206,-42.224621,127.795845,-128.016602,-28.899092,-22.841825,4.476737,4.476736,4.476736,4.476736,0.065648,0.002735,0.000000,0.831416,1.000000,-0.014621,-0.212422,0.000000,1966.043091,1.000000,1.000000,0.000000,0.000000,-101.808014,-101.808990,-101.808563,-101.808563,0.000000,79.961891,-0.593983,-0.593984,-0.593984,-0.593984,
11.499755,0.000000,-16.513519,0.000000,-4785.578125,451.338135,-2077.395020,16.090307,4.386444,0.403666,-0.756875,0.151682,0.052180,0.987051,0.984020,0.086249,-0.155776,-27.408529,-37.469875,-43.442501,-41.017460,266.995667,-5.395554,-25.810177,-25.825932,4.409948,4.409948,4.409949,4.409949,0.110759,0.002639,0.000000,0.945804,1.000000,0.001855,-0.162267,0.000000,1906.214844,1.000000,1.000000,0.000000,0.000000,-100.410248,-100.411224,-100.411041,-100.411041,0.000000,80.210091,-0.214494,-0.214494,-0.214493,-0.214493,
11.599751,0.000000,-16.074646,0.000000,-4785.147461,451.377502,-2077.321289,15.592097,4.251956,0.390052,-0.726287,0.152183,0.050355,0.987069,0.983956,0.086378,-0.156110,-33.349190,-37.154148,-40.299107,-39.476131,116.357399,196.867599,-147.513779,72.729561,4.286994,4.286993,4.286994,4.286994,0.149080,0.005729,0.000000,0.961044,1.000000,-0.020192,-0.138008,0.000000,1877.973145,1.000000,1.000000,0.000000,0.000000,-99.028595,-99.029510,-99.029266,-99.029266,0.000000,80.306717,-0.158921,-0.158922,-0.158921,-0.158919,
